tier,repository_or_artifact,probe_result_2026_09_07,likely_owner,why_needed,journey_unlocked,replacement_possible,evidence_for_name
3,razorpay/capital-collections,404,@razorpay/Capital_BE,capital_collections source type + updater,Repayment collection payouts,PARTIAL,api/app/Services/CapitalCollectionsClient.php:73-125
3,razorpay/capital-loc,404,@razorpay/Capital_BE; capital-loc-reviewers,LOC withdrawal → X payout callback,LOC withdrawal,PARTIAL,api/app/Http/Route.php:1557-1562
3,razorpay/capital-es,404,Platforms/Payments Platform (org map),On-demand settlement → X payouts; KeepSufficientBalanceInPayoutsMerchant,On-demand settlement,YES (public-API caller sim),proto/capital/es/cron/v1/cron_api.proto:9; api/app/Services/RazorpayXClient.php:131-190
3,razorpay/settlements (+settlement-service),404,@razorpay/TechSettlements (#settlements),StatusUpdatePayout; MigrateToPayout; FTS SETTLEMENT product,Settlement transfer status,YES (Twirp receiver),proto/settlements/transfer/v1/transfer_api.proto:116; fts/config/env.prod-live.toml:171-223
3,razorpay/master-onboarding,404,X acquisition (#x-acquisition-alerts; #x-onboarding-oncall),CA activation orchestrator,CA onboarding,PARTIAL,banking-accounts/config/default.toml:103-106; kube-manifests/prod/master-onboarding/values.yaml:6
3,razorpay/onboarding,404,Onboarding platform,obs platform,CA onboarding,PARTIAL,kube-manifests/prod/onboarding/values.yaml:6-7
3,razorpay/business-verification-service,404,@razorpay/identity-core,KYC for vendors and CA,Vendor onboarding; CA KYC,YES (BVS SDK contract stub),spinacode/bvs local repo; kube-manifests/prod/bvs/values.yaml:6
3,razorpay/business-reporting,404,Reporting team,business_reporting internal app; ledger balance fetch,Reports,YES (HTTP stub),api/config/applications.php:1188; payouts/internal/auth/headers.go:21
3,razorpay/abacus,404,Platform,ABAC/limits for vendor-payments and workflows,Limits,YES (stub),vendor-payments/config/default.toml:569
3,razorpay/metro,404,Platform,bulk orchestration for vendor-payments,Bulk imports,YES (stub),vendor-payments/config/default.toml:211
3,razorpay/ufh,404,@razorpay/tech-infra-common-platforms,file handler (challans),Challan files,YES (stub),vendor-payments/config/default.toml:117
3,razorpay/scrooge,404,PG refunds,refund source type,Refund payouts,YES (replay),payouts/internal/auth/headers.go:15
3,razorpay/cross-border-import,404,XBI,cross_border/ica_transfer source types,ICA payouts,YES (replay),api/app/Models/Payout/SourceUpdater/Factory.php:80
3,razorpay/rpc (regenerate),clone failed (SSL) earlier,Platform,Twirp/gRPC stubs for tax-payments/vendor-payments/vendor-portal/accounting-payouts,Contract tests,YES (buf generate from proto/),rpc/buf.gen.twirp.yaml
artifact,Kafka MSK topic ACL list (vendor-payments; x-payroll-*),n/a,Platform/Kafka,Producer/consumer confirmation,add-tds-entry; employee-settings-sync,n/a,vendor-payments/config/prod.toml
artifact,SNS subscription list for 10 payout-updates-* topics,n/a,Payouts core,Which service subscribes per source type,All status-back paths,n/a,payouts/config/prod.toml:367-388
artifact,AuthZ DB role_policy_mapping export (x_platform; capital),n/a,AuthZ team,Role→permission mapping is data,Role fidelity,n/a,authz/scripts/policies
artifact,DCS effective values rzp/x/merchant/payouts/* (skip_workflow_for_payroll; enable_payouts_to_cards; pricing tiers),n/a,Payouts core / DCS,Feature-state fidelity,Payroll bypass; cards,n/a,config-proto/rzp/x/merchant/payouts
artifact,Grafana/alert metric names (opfin-infra; xpayroll_rules.yaml),n/a,Payroll,Payroll→payouts SLOs,Payroll assurance,n/a,alert-rules/rules/prod-rules/xpayroll_rules.yaml
