repo:payouts | repository | razorpay/payouts
flag:dcs:payout_workflows | feature flag | DCS payout_workflows / skip_approval_workflow_for_api / skip_workflow_for_* (merchant)
flag:dcs:in_flight_reservation_enabled | feature flag | DCS in_flight_reservation_enabled
flag:features.forward_dual_write | feature flag | features.forward_dual_write / reverse_dual_write / skip_ca_dual_write
flag:splitz:IKeyAutoEnforcementRampUp | feature flag | features.ikey_auto_enforcement + Splitz ramp-up
flag:merchant:payout_service_enabled | feature flag | merchant payout_service_enabled / is_payout_service
flag:kong:payouts-proxy-cutover | gateway route | Kong template payouts-proxy-cutover (shadow route, monolith default upstream)
ep:POST /v1/payouts | API endpoint | POST /v1/payouts (public; also payouts_internal, internal_contact_payout)
ep:POST /payouts_with_otp | API endpoint | POST /merchant/api/{mode}/payouts_with_otp (dashboard)
ep:POST /v1/payouts/{id}/approve | API endpoint | POST /payouts/{id}/approve|reject (+bulk, 2fa)
ep:POST /v1/payouts/{id}/cancel | API endpoint | POST /v1/payouts/{id}/cancel
ep:POST /v1/transfer | API endpoint | FTS POST /v1/transfer
ep:Journal.Create | API endpoint | Ledger Twirp Journal.Create
ep:transfer_status_webhook | API endpoint | PS POST /v1/payouts/transfer_status_webhook
ep:update_fts_fund_transfer | API endpoint | API monolith /v1/update_fts_fund_transfer (legacy FTS webhook)
ep:update_payouts_with_fts | API endpoint | PS PATCH /v1/payouts/update_payouts_with_fts (internal)
ep:manual_action | admin action | PS POST /v1/payouts/manual_action (processed→processing, approve/reject workflow)
ep:admin-force-status | admin action | Admin PATCH live/payouts/{id}/manual/status (force status)
ep:cron | cron | PS /v1/cron/* (queued/scheduled/on_hold dispatch, reservation reconcile, dual-write failure, SLA monitor)
ep:fts-stuck-cron | cron | FTS stuck_payouts cron (canary instance, leader-elected)
ep:xbalances-fetch-cron | cron | x-balances /v1/cron/balance/{channel}/fetch
ep:xas-fetch | cron | XAS statement fetch jobs
deploy:payouts | deployment | payouts Dockerfiles build/docker/prod/*, devspace.yaml; manifests external
deploy:fts | deployment | fts deployments/{prod,stage,func,perf}/deployment-web|default-worker.yaml
db:validx-mysql | datastore | ValidX MySQL (validations, validation_attempts, gateway_routing_rules, rpd_ledger)
q:sqs-validx-dualwrite | queue/topic | SQS prod-api-validation-dual-write-live (ValidX → monolith)
ep:POST /v1/fund_accounts/validations | API endpoint | Public POST /v1/fund_accounts/validations (owned by API monolith)
ep:validx-internal | API endpoint | ValidX /v1/internal/validations*, /webhook/fts, /webhook/citi, /manual-action, /routing/rules
ep:payouts_internal-approve | API endpoint | PS POST /v1/payouts/payouts_internal/{id}/approve|reject (BasicAuth only, unscoped FindByID)
ep:workflow-state | API endpoint | PS POST/PATCH /v1/workflow/state[/:id] (workflow_state_map)
ep:POST /v1/payouts/bulk | API endpoint | PS POST /v1/payouts/bulk (+/validate) — caller Batch service (inferred), X-Batch-Id header
ep:notify-health | API endpoint | PS POST /v1/notify/health/update, /notify/downtime (FTS → partner bank health)
flag:splitz:fts_request_from_ps | feature flag | config fts_request_from_ps merchant list + Splitz fts_request_from_payouts_service_experiment
flag:splitz:merchant_config_via_asv_and_dcs | feature flag | Splitz merchant_config_via_asv_and_dcs_experiment (Qnc6b4fg1Hi36k): merchant config from monolith (default) vs ASV+DCS
flag:splitz:for_duplicate_payout_evaluate | feature flag | Splitz for_duplicate_payout_evaluate {enable, action} shadow vs enforce
flag:splitz:charge_collections_call_experiment | feature flag | Splitz charge_collections_call_experiment (pricing source: monolith vs CC-SDK)
flag:splitz:PayoutWorkflowsDcsNameExperiment | feature flag | Splitz PayoutWorkflowsDcsNameExperiment (Sg7tEnMoxCbTzM): OR legacy + DCS flag names
flag:splitz:use_api_db_for_payout_status_details | feature flag | Splitz use_api_db_for_payout_status_details_experiment (TMp5VcIFYOHK2m) fail-open → monolith DB reads
db:redis-merchant-config | datastore | PS Redis MerchantConfig cache (30 min; UpdateMerchantFeatureInCache no-ops when cold)
ep:cron-queued | cron | PS /v1/cron/process_queued_low_balance_payouts (6h balance-change window, limit 5000, no ORDER BY)
ep:cron-reservation | cron | PS /v1/cron/process_inflight_reservation_reconciliation (5 min cadence, heartbeat TTL 12.5 min, fail-closed)
ep:cron-scheduled | cron | PS /v1/cron/process_scheduled_payouts (4 IST slots; pending-at-slot ⇒ auto-reject)
ep:cron-onhold | cron | PS /v1/cron/process_beneficiary_bank_on_hold_payouts + /process_queued_payouts (SLA breach ⇒ failed)
ep:cron-sla | cron | PS SLA monitor (create_request_submitted, batch_submitted, scheduled only — NOT initiated; alert only)
ep:bas-recon-payout-update | API endpoint | PS POST /v1/payouts/banking_account_statement/payout_update (BAS recon → can create reversal)
q:sqs-payout-update-failure | queue/topic | SQS payout_update_failure_handling (ledger processed/reversed retries, MaxRetries 3, 120 s)
ep:ps-admin-merchant-configuration | admin action | PS POST/PUT /v1/admin/merchant-configuration (+ cron variant) — merchant config mutation
ep:ps-admin-payouts-sync | admin action | PS PATCH /v1/admin/payouts_sync + POST /v1/admin/free_payout/:balance_id (passport admin + BasicAuth)
ep:fts-manual-override | admin action | FTS channel-health /manual_override, /fail_fast_status/manual_update, /v1/transfer/fail, /v1/manual_queries/update
job:monolith-ApprovedPayoutProcessor | worker | API monolith job ApprovedPayoutProcessor — still issues UPDATE payouts SET status='rejected' against deleted api.payouts table (failing 2026-09-03) ⚠
