source	predicate	target	purpose
x-balances	HAS_FAILURE_MODE	x-balances-update-lag	
fts	HAS_FAILURE_MODE	fts-empty-channel-list-panic	
payouts	HAS_FAILURE_MODE	bank-cbs-stuck-pending	
payouts	HAS_FAILURE_MODE	duplicate-workflow-state-map-records	
payouts	HAS_FAILURE_MODE	gateway-ns404-stuck-initiated	
payouts	HAS_FAILURE_MODE	payout-source-updater-refund-race	
validx	HAS_FAILURE_MODE	validx-cache-hit-drop	
validx	HAS_FAILURE_MODE	validx-fallback-storm	
validx	HAS_FAILURE_MODE	validx-fts-webhook-missing	
validx	HAS_FAILURE_MODE	validx-inquiry-budget-exhausted	
validx	HAS_FAILURE_MODE	validx-mozart-degradation	
validx	HAS_FAILURE_MODE	validx-routing-resolution-failure	
validx	HAS_FAILURE_MODE	validx-rpd-refund-backlog	
validx	HAS_FAILURE_MODE	validx-timeout-surge	
cfa	HAS_INVARIANT	cfa-hash-dedup	
cfa	HAS_INVARIANT	cfa-merchant-isolation	
cfa	HAS_INVARIANT	fund-account-contact-linkage	
cfa	HAS_INVARIANT	fund-account-immutable-once-created	
fts	HAS_INVARIANT	fts-idempotent-transfer	
fts	HAS_INVARIANT	fts-mode-routing	
payouts	HAS_INVARIANT	payout-idempotency	
payouts	HAS_INVARIANT	payout-single-debit	
payouts	HAS_INVARIANT	payout-status-fsm	
validx	HAS_INVARIANT	beneficiary-data-encrypted-at-rest	
validx	HAS_INVARIANT	cache-key-determinism	
validx	HAS_INVARIANT	ledger-entry-once-per-validation	
validx	HAS_INVARIANT	routing-rule-precedence	
validx	HAS_INVARIANT	timeout-leaves-attempt-open	
validx	HAS_INVARIANT	validation-amount-int64-paise	
validx	HAS_INVARIANT	validation-single-lock-per-id	
validx	HAS_INVARIANT	validation-status-fsm	
virtual-account	HAS_INVARIANT	atomic-va-creation	
virtual-account	HAS_INVARIANT	va-aggregate-root	
virtual-account	HAS_INVARIANT	va-optimistic-locking	
virtual-account	HAS_INVARIANT	va-strict-fsm	
x-account-statements	HAS_INVARIANT	statement-immutability	
x-balances	HAS_INVARIANT	balance-snapshot-eventual-consistency	
validx	HAS_PARTICIPANT	citi	
validx	HAS_PARTICIPANT	slice	
cfa	OWNED_BY	external.subgroup.business-banking	
fts	OWNED_BY	external.subgroup.business-banking	
payouts	OWNED_BY	external.subgroup.business-banking	
validx	OWNED_BY	external.subgroup.business-banking	
virtual-account	OWNED_BY	external.subgroup.business-banking	
x-account-statements	OWNED_BY	external.subgroup.business-banking	
x-balances	OWNED_BY	external.subgroup.business-banking	
cfa-hash-dedup	REFERENCES	contact-management	
cfa-hash-dedup	REFERENCES	fund-account-management	
cfa-merchant-isolation	REFERENCES	contact-management	
cfa-merchant-isolation	REFERENCES	fund-account-management	
cfa	REFERENCES	debug-fund-account-validation	
cfa	REFERENCES	contact-management	
cfa	REFERENCES	fund-account-card-tokenization	
cfa	REFERENCES	fund-account-management	
fund-account-contact-linkage	REFERENCES	fund-account-management	
fund-account-immutable-once-created	REFERENCES	fund-account-card-tokenization	
fund-account-immutable-once-created	REFERENCES	fund-account-management	
cfa	REFERENCES	bank-account-fund-account-fts-replication	
payouts	REFERENCES	is-payout-service-dual-stack	
payouts	REFERENCES	payouts-changes-in-microservice-not-api	
payouts	REFERENCES	pg-settlements-lite-payout-nodal	
fts-idempotent-transfer	REFERENCES	fund-transfer-routing	
fts-idempotent-transfer	REFERENCES	gateway-dispatch	
fts-mode-routing	REFERENCES	fund-transfer-routing	
fts-mode-routing	REFERENCES	gateway-dispatch	
fts	REFERENCES	debug-transfer-failure	
fts	REFERENCES	fund-transfer-routing	
fts	REFERENCES	gateway-dispatch	
debug-balance-mismatch	REFERENCES	x-balances-dual-write-mismatch	
debug-balance-mismatch	REFERENCES	x-balances-update-lag	
debug-fund-account-validation	REFERENCES	cfa-data-integrity-degradation	
debug-fund-account-validation	REFERENCES	cfa-fund-account-validation-surge	
debug-missing-statement	REFERENCES	xas-missing-statements	
debug-missing-statement	REFERENCES	xas-yesbank-statement-fetch-failure	
debug-stuck-payout	REFERENCES	fts-stuck-transfers	
debug-stuck-payout	REFERENCES	payouts-not-reaching-fts	
debug-stuck-payout	REFERENCES	payouts-queue-lag	
debug-stuck-payout	REFERENCES	payouts-sla-breach-stuck	
debug-transfer-failure	REFERENCES	fts-bene-bank-downtime	
debug-transfer-failure	REFERENCES	fts-gateway-degradation	
debug-transfer-failure	REFERENCES	fts-stuck-transfers	
debug-transfer-failure	REFERENCES	fts-success-rate-drop	
debug-transfer-failure	REFERENCES	payouts-not-reaching-fts	
debug-va-credit	REFERENCES	va-credit-processing-degradation	
payout-idempotency	REFERENCES	payout-creation	
payout-idempotency	REFERENCES	payout-processing	
payout-single-debit	REFERENCES	payout-reversal	
payout-single-debit	REFERENCES	va-account-processing	
payout-status-fsm	REFERENCES	payout-creation	
payout-status-fsm	REFERENCES	payout-processing	
payouts	REFERENCES	debug-stuck-payout	
payouts	REFERENCES	payout-creation	
payouts	REFERENCES	payout-processing	
payouts	REFERENCES	payout-reversal	
payouts	REFERENCES	va-account-processing	
debug-stuck-payout	REFERENCES	bank-cbs-stuck-pending	
debug-stuck-payout	REFERENCES	gateway-ns404-stuck-initiated	
beneficiary-data-encrypted-at-rest	REFERENCES	cache-validation	
beneficiary-data-encrypted-at-rest	REFERENCES	validation-webhook-processing	
cache-key-determinism	REFERENCES	cache-validation	
debug-cache-not-working	REFERENCES	cache-validation	
debug-cache-not-working	REFERENCES	validx-cache-hit-drop	
debug-gateway-routing	REFERENCES	gateway-routing-resolution	
debug-gateway-routing	REFERENCES	validx-fallback-storm	
debug-gateway-routing	REFERENCES	validx-routing-resolution-failure	
debug-rpd-refund-stuck	REFERENCES	rpd-refund	
debug-rpd-refund-stuck	REFERENCES	validx-rpd-refund-backlog	
debug-stuck-validation	REFERENCES	validation-initiation	
debug-stuck-validation	REFERENCES	validx-fts-webhook-missing	
debug-stuck-validation	REFERENCES	validx-inquiry-budget-exhausted	
debug-stuck-validation	REFERENCES	validx-mozart-degradation	
debug-validation-timeout	REFERENCES	validation-timeout-handling	
debug-validation-timeout	REFERENCES	validx-mozart-degradation	
debug-validation-timeout	REFERENCES	validx-timeout-surge	
debug-webhook-not-processed	REFERENCES	validation-webhook-processing	
debug-webhook-not-processed	REFERENCES	validx-fts-webhook-missing	
ledger-entry-once-per-validation	REFERENCES	validation-creation	
ledger-entry-once-per-validation	REFERENCES	validation-fallback	
ledger-entry-once-per-validation	REFERENCES	validation-timeout-handling	
routing-rule-precedence	REFERENCES	gateway-routing-resolution	
timeout-leaves-attempt-open	REFERENCES	validation-timeout-handling	
timeout-leaves-attempt-open	REFERENCES	validation-webhook-processing	
validation-amount-int64-paise	REFERENCES	validation-creation	
validation-single-lock-per-id	REFERENCES	citi-inquiry-polling	
validation-single-lock-per-id	REFERENCES	rpd-refund	
validation-single-lock-per-id	REFERENCES	slice-inquiry-polling	
validation-single-lock-per-id	REFERENCES	validation-initiation	
validation-single-lock-per-id	REFERENCES	validation-timeout-handling	
validation-single-lock-per-id	REFERENCES	validation-webhook-processing	
validation-status-fsm	REFERENCES	validation-creation	
validation-status-fsm	REFERENCES	validation-initiation	
validation-status-fsm	REFERENCES	validation-timeout-handling	
validation-status-fsm	REFERENCES	validation-webhook-processing	
validx	REFERENCES	validx-db-driven-gateway-routing	
validx	REFERENCES	validx-penniless-default	
validx	REFERENCES	validx-statemanager-strategy-split	
validx	REFERENCES	debug-cache-not-working	
validx	REFERENCES	debug-gateway-routing	
validx	REFERENCES	debug-rpd-refund-stuck	
validx	REFERENCES	debug-stuck-validation	
validx	REFERENCES	debug-validation-timeout	
validx	REFERENCES	debug-webhook-not-processed	
validx	REFERENCES	cache-validation	
validx	REFERENCES	citi-inquiry-polling	
validx	REFERENCES	gateway-routing-resolution	
validx	REFERENCES	rpd-refund	
validx	REFERENCES	rpd-upi-intent	
validx	REFERENCES	slice-inquiry-polling	
validx	REFERENCES	validation-creation	
validx	REFERENCES	validation-fallback	
validx	REFERENCES	validation-initiation	
validx	REFERENCES	validation-timeout-handling	
validx	REFERENCES	validation-webhook-processing	
atomic-va-creation	REFERENCES	va-creation	
va-aggregate-root	REFERENCES	va-creation	
va-optimistic-locking	REFERENCES	payment-credit-processing	
va-optimistic-locking	REFERENCES	va-close	
va-strict-fsm	REFERENCES	payment-credit-processing	
va-strict-fsm	REFERENCES	va-close	
virtual-account	REFERENCES	debug-va-credit	
virtual-account	REFERENCES	payment-credit-processing	
virtual-account	REFERENCES	va-close	
virtual-account	REFERENCES	va-creation	
statement-immutability	REFERENCES	statement-generation	
statement-immutability	REFERENCES	statement-txn-ingestion	
x-account-statements	REFERENCES	debug-missing-statement	
x-account-statements	REFERENCES	statement-generation	
x-account-statements	REFERENCES	statement-txn-ingestion	
balance-snapshot-eventual-consistency	REFERENCES	balance-fetch	
balance-snapshot-eventual-consistency	REFERENCES	balance-snapshot-sync	
x-balances	REFERENCES	debug-balance-mismatch	
x-balances	REFERENCES	balance-fetch	
x-balances	REFERENCES	balance-snapshot-sync	
