family,component_or_path,production_mechanism,production_evidence,twin_mechanism,twin_file,verdict_today,target_tier,controls,what_differs,fix_from_repo_alone,external_artifact_needed,lane
api_monolith,"Admin/repair (admin/payouts/cancel, manual_action, manual/status[/batch], retry, workflow_retry)","admin-dashboard SPA → PG proxy (RZP-SSO, Auth::guard('api')) → AdminAccess::policyChecker (local role→permission DB) → monolith Core/PS-fallback per-route",api/app (AdminAccess.php:117; §2/§3 route-level),None,n/a,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,"approval,repair,payout_state,transfer_state","No admin auth model, no repair tooling, no local↔PS split logic exercised",yes,none,02
batch,Bulk create (payouts/bulk via Batch),"Batch payout.json → monolith-edge-domain Basic-Auth-proxy call → PS CreateBulkPayouts[Concurrent], bulk_idempotency_keys table",batch/src/main/resources/payout.json; api/app/Models/Payout/Service.php,"None — twin's verifier calls PS directly, single-payout only; no batch/chunking/idempotency-key-derivation path exercised",n/a,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,"idempotency,routing","No Batch service, no CSV staging, no chunked bulk call, no per-row idempotency-key derivation (""batch_""+BatchEntry.id)",yes,none,02
batch,Bulk approve (payout_approval.json → monolith payouts/bulk_approve),"Monolith-internal, X-Batch-Id-gated, reuses Core::approvePayout (same core method ordinary approvals use); three-hop chain: Batch→monolith payouts/bulk_approve→Core::approvePayout→(for PS-owned rows) PS payouts_internal/{id}/approve","batch/src/main/resources/payout_approval.json:66; api/app/Models/Payout/Service.php:3539-3670; repo-wide grep of payouts repo for bulk_approve (zero hits, confirms no PS route)",None,n/a,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,approval,"No batch-triggered bulk-approve modeled at all; ARCHITECTURE_DELTA.md's prior claim that this bypasses WFS and hits PS directly is a CORRECTION — it hits the monolith, not PS",yes,none,02
workflow_service,Workflow Service (approval state machine),"Cadence-backed WFS, Twirp ActionAPI, callbacks to payouts_internal/{id}/approve|reject","api/app/Models/Payout/Service.php:1320-1353,1507-1552,6802-6811",None,n/a,MISSING,REAL (Cassandra+Cadence+MySQL+api+workers) when approval family in scope; else CONTRACT-FAITHFUL SUBSTITUTE,"approval,routing",Twin has no multi-step/maker-checker workflow at all; the verifier's payouts are never workflow-gated,yes,none,02
api_monolith,PS-callback surface aggregate (monolith-stub subset),"Monolith routes, payouts_service-credential-allowlisted: fetch_pricing_info, dual_write, source_update, mail_and_sms, create_fta, update_fts_fund_transfer, internal_merchants, fund_accounts_internal, on_hold_slas_internal, internal_balances_queued",payouts/pkg/api/*.go DTOs (per stub's own CONTRACT.md),monolith-stub implements exactly this subset,ENV2_COMPOSE/substitutes/monolith-stub/server.py; ENV2_COMPOSE/substitutes/monolith-stub/CONTRACT.md,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,"routing,balance","Two routes (actor_info_internal, users_internal) explicitly marked not-confirmed-real by the stub's own docs (see lane 01 per-route detail rows for exact per-route verdicts)",yes,none,02
api_monolith,is_payout_service / read-fallback migration state,Monolith PS-first-with-local-fallback Repository pattern; PS's AppDB→ApiDB(hardcoded off)→TiDB chain,"api/app/Models/Payout/Repository.php:216-256,411-427,7474-7491,7555-7580; payouts/internal/helpers/apidb.go:23-25; payouts/internal/app/payouts/fetch_orchestrator/strategies/fetch_by_id_strategy.go:21-53","Not modeled — twin has no local monolith payouts table at all, and PS's fetch-orchestrator fallback chain is untested",n/a,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,"routing,payout_state","Legacy read-path fallback entirely absent from twin (low priority: default behaviour is PS-only, no DB, per this pass's tracing)",yes,none,02
edge_kong_passport,Kong reverse proxy,"Kong OSS + Lua plugin chain (basic-auth-x, consumer-authentication, impersonation-grant, upstream-jwt, authz-enforcer, ip-restriction-x, user-auth), declarative Terraform config, priority-ordered handlers","terraform-kong/prod/api/api.tf:2291-2296,2968-2973",single-file Python http.server reverse proxy,ENV2_COMPOSE/substitutes/kong-lite/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,"auth,tenant,routing","No real Kong runtime, no plugin priority chain, no consumer/DB-backed auth, no rollout percentages, no ip-restriction-x/rate-limiting (off in prod anyway), no impersonation-grant (X-Razorpay-Account) handling at all — mints only consumer.type=merchant passports",yes,none,03
edge_kong_passport,Passport minting (Edge upstream-jwt),"Edge upstream-jwt Lua plugin, RS256, hardcoded 300s TTL, full claim schema","edge/ (upstream-jwt plugin, per lane03 §2)","kong-lite/server.py:_mint_passport_jwt — pure-stdlib RS256 signer, same claim shape for private/merchant-API-key case only",ENV2_COMPOSE/substitutes/kong-lite/server.py,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE with all four passport shapes and keys-table indirection,"auth,tenant","Only mints the consumer.type=merchant shape; never mints impersonation, oauth, admin, or identification-only (both-false) shapes — those auth flows have no twin coverage at all",yes,none,03
edge_kong_passport,Passport verification (PS side),"goutils/passport/v3, static per-kid public key map, loaded from [passport.api]/[passport.edge] TOML",payouts/pkg/passport/handler.go:1-58; payouts/go.mod (goutils/passport/v3),"Real payouts binary running against twin's arena.toml [passport.edge] identifier=""arena-passport-1""",ENV2_COMPOSE/config/templates/base/payouts/arena.toml:442-448,REAL,REAL,auth,None on the verification side — kong-lite's kid (arena-passport-1) is provisioned to match the real config exactly,yes,none,03
authz,AuthZ enforcer,"authz service + Casbin + Consul-watch, shadow_mode per route, real policy CSVs","authz repo (Casbin/Consul integration, per lane03 §4)",Not present in ENV2 substitutes list at all (no authz-stub/casbin substitute),n/a,MISSING,MISSING (correct for PS-direct twin); only if dashboard role enforcement is tested: in-process goutils/authz mock adapter with seeded xplatform policies,approval,"Correctly omitted since PS itself never calls AuthZ (confirmed); if dashboard-merchant surface (payouts_with_otp, shadow_mode=false, enforced) is ever tested, a real authz+Consul or goutils/authz adapter.NewMockAdapter() in-process pattern would be needed",yes,none,03
payouts_service,Service Basic-Auth ([auth.*] sections),Static per-caller username/password pairs in payouts TOML,"payouts/config (per-caller [auth.*] sections, per lane03 §2)","arena.toml:114-153 mirrors every section 1:1, secrets templated from gen-secrets.sh-generated files",ENV2_COMPOSE/config/templates/base/payouts/arena.toml:114-153,REAL,REAL,auth,None structural; [auth.dashboard]/[auth.reminder] carried forward even though confirmed unwired in the real router too (twin fidelity here is accidentally correct),yes,none,03
payouts_service,PS shadow-gateway ([shadow_gateway]),"Config-driven, disabled by default in prod (default.toml:978), one pilot route enabled in devstack","payouts/config/default.toml:978; payouts/internal/routing/shadowgateway/middleware.go:14-18,91-96","arena.toml:1026-1040 — enabled=false, identical structure to default.toml, no routes onboarded",ENV2_COMPOSE/config/templates/base/payouts/arena.toml:1026-1040,CONTRACT-FAITHFUL,REAL,routing,"Twin never exercises the enabled/pilot-route state (devstack's [shadow_gateway.routes.""get /v1/payouts/schedule/timeslots""]) — acceptable since that pilot fails safe to proxy on any error",yes,none,03
payouts_service,Idempotency key handling (X-Payout-Idempotency),"PS-side Redis mutex + request-hash replay-safety, X-Payout-Idempotency header, feature-flagged enforcement","payouts/ (per lane03 §2, Redis mutex logic)","Not examined in ENV2 substitutes (PS-internal logic, runs unmodified in the real payouts-api binary)",n/a (real payouts binary),REAL,REAL,idempotency,"None — this logic isn't part of any substitute, it's the real payouts service; enforcement is feature-flagged off by default in every environment this clone shows",yes,none,03
edge_kong_passport,keys table / API-key format,"14-char group is a random base62 key id independent of merchant id (Key::generateUniqueId, 4x random_bytes(4) base62); merchant id recovered only via keys table's merchant_id FK column","api/app/Models/Key/Entity.php:261-282,308; api/database/migrations/2014_04_23_221828_create_keys.php:19-38",Embeds the merchant id directly in the key suffix (rzp_test_ARENAM00000001),ENV2_COMPOSE/seeds/merchants.json:1-24,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE with keys-table indirection,"auth,tenant","Real key ids carry no merchant-id information; a real Kong/monolith would need a keys-table lookup — twin's embedding is a simplification, should not be presented as how real API keys work",yes,none,03
payouts_service,Status enum/transition table (13-event FSM),"13-event FSM in pkg/transition, state_machine.go",payouts/pkg/transition/state_machine.go,Same compiled Go binary run unmodified — not separately re-verified this pass but identical code,n/a (real payouts binary),REAL,REAL,"payout_state,transfer_state",None expected — same Go binary,yes,none,04
payouts_service,payout_logs / payout_status_details sub-models,Generated by OnEvent + FTS webhook handlers,payouts/internal/database/migrations/20211026104754_create_payout_status_details_table.go:13,Same code path; golden run V14 ('no illegal transitions in payout_logs') PASSED,n/a (real payouts binary),REAL,REAL,"payout_state,idempotency",None found,yes,none,04
payouts_service,Merchant config source,"Splitz-gated monolith-vs-ASV+DCS, 30-min Redis cache",payouts/pkg/dcs/features/features.go:75-133,"arena.toml seeds DCS fixtures with correct key format (rzp/x/merchant/payouts/{Workflows,FundTransfer,ApiInterface,direct_accounts/Configs,...}), 3 merchant profiles (M1 shared, M2 direct/RBL w/ in_flight_reservation_enabled=true, M3 shared/workflow)",ENV2_COMPOSE/seeds/dcs/*.json; ENV2_COMPOSE/config/templates/base/payouts/arena.toml,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,"routing,approval","Only 3 merchants seeded vs. the real merged monolith+ASV+DCS+API-DB-features 4-way merge; merchant_config_via_asv_and_dcs_experiment seeded as a literal string ID, not the real Splitz experiment ID — cosmetic, resolved by name in the stub",partial,Sanitized DCS Get dump for 3-5 representative real merchant ids across the 28 fields,04
splitz,"Splitz experiments (SplitzExperimentList, 38 fields)","38-field SplitzExperimentList, error/timeout → hardcoded false (fail to 'off'); prod payouts config/prod.toml:442 sets [splitz] client_side_eval=false (server-side Evaluate)",payouts/config/prod.toml:442; payouts/pkg/dcs/features (SplitzExperimentList),"splitz_fixtures.json seeds only 8 named experiments; splitz-stub's own default for any UNSEEDED experiment ID/name is ""on"" (DEFAULT_VARIANT=""on""); arena config template sets client_side_eval=true (wrong vs prod's false)",ENV2_COMPOSE/seeds/splitz/splitz_fixtures.json; ENV2_COMPOSE/config/templates/base/payouts/arena.toml,INCORRECT,"CONTRACT-FAITHFUL SUBSTITUTE: arena client_side_eval=false; seeded Evaluate per (experiment, merchant); unseeded default ""off""","routing,approval,fees,tenant,payout_state","Production's fail-safe on error is off; twin's fail-safe on absence is on — silently enables ~30 unramped features/experiments off in prod. VERIFIED FIX: the correct fix is arena config (client_side_eval=false) + seeded Evaluate responses, not FetchDecisionContext (per config/prod.toml:442 vs arena template's true)",yes,"sanitized export of {experiment_id/name: current_variant} for the 38 fields, or confirmation that off is the safe universal default",04
dcs,DCS reachability,"gRPC+grpc-gateway KVService, pkg/dcs/client.go GenerateOptions (goutils/dcs@v1.7.3 login-host resolution ignores ServerURL when exactly one Mode is configured)",payouts/pkg/dcs/client.go (GenerateOptions),"dcs-stub is spec-complete; arena applies a build-time module-replace patch so GetContextUrl returns ARENA_DCS_URL for every call (both login and per-request DCS calls), not just login","ENV2_COMPOSE/build/arena-patches/goutils-dcs-v1.7.3/dcs.go:111,180-186,192",REAL,"CONTRACT-FAITHFUL SUBSTITUTE (dcs-stub); keep substitute, document patch; real DCS optional","routing,approval,balance","CORRECTED: earlier read of this row (and lane 10's inference) treated per-request DCS calls as unreachable through the patch; verified against build/arena-patches/goutils-dcs-v1.7.3/dcs.go:111,180-186,192 the patch makes GetContextUrl return ARENA_DCS_URL for every call, so DCS reachability itself is REAL-patched, not a residual gap",yes,none,04
payouts_service,In-flight reservation,"Redis-only counter+items keys, Lua Reserve, 5-min reconciler cron rebuilding from DB truth + fail-closed heartbeat","payouts/internal/app/payouts (reservation package, Lua Reserve script)","GET /v1/inflight_reservations inspection route exists and is called directly by verifier V12; but the reconciler cron is never driven by the twin's cron-driver (path mismatch: driver calls /v1/cron/reservation_reconcile, real route is /process_inflight_reservation_reconciliation)",ENV2_COMPOSE/scripts/cron-driver/driver.py,INCORRECT,REAL — fix cron-driver path + seeded Splitz,balance,"V12 fails; CORRECTED root cause per verified facts: reservation reconciler heartbeat never gets set because cron-driver hits the wrong path (fails closed), and/or the Splitz-gated config path (client_side_eval) — not DCS reachability, which is REAL-patched (see DCS reachability row above)",yes,none,04
cron_fastcron,Cron routes (/v1/cron/*),24 exact /v1/cron/* paths,"payouts/internal/routing/router (cron route table, §6)",scripts/cron-driver/driver.py drives most of them but with 3 confirmed path mismatches and 1 missing,ENV2_COMPOSE/scripts/cron-driver/driver.py,INCORRECT,"fix paths, add batch_submitted + fund_management_payouts/check, label cadence ASSUMED until FastCron export","payout_state,balance,repair","driver.py calls /v1/cron/process_on_hold_payouts (real: /process_beneficiary_bank_on_hold_payouts), /v1/cron/reservation_reconcile (real: /process_inflight_reservation_reconciliation), /v1/cron/process_dual_write_failures (real: /payouts_dual_write_failure_processing) — all 404 against the real binary and silently never fire; /process_batch_submitted_payouts is not driven at all, so NEFT/RTGS bulk rows never leave batch_submitted via cron in the arena",yes,none,04
payouts_service,Queued low-balance dequeue,6h updated_at filter on monolith's balance table (via db.api) + live GET /internal_balances_queued,"payouts/ (dequeue job, per lane04 §; ENV2_BUILD_STATUS.md)",V24's cron-endpoint-direct-call (bypassing cron-driver) still fails: PS's dequeue reads the monolith VA balance (stub→ledger) and API-DB balance.updated_at,ENV2_COMPOSE/substitutes/monolith-stub/server.py,INCORRECT,CONTRACT-FAITHFUL SUBSTITUTE,"balance,payout_state","The monolith-stub's balance response and/or the balance.updated_at freshness are not kept in step with what a real top-up would produce — twin-specific gap, separate from the cron-driver mismatches above",yes,none,04
ledger,Ledger payout_processed/payout_reversed account discovery (fts_fund_account_id/fund_account_type),"Identifiers sourced verbatim from the FTS webhook payload, must match a pre-registered Ledger account","payouts/ (FTS webhook handler, per lane04/07)","ledger.sql correctly pre-seeds FTS-nodal accounts keyed by fts_fund_account_id 900001 (shared M1/M3) / 900002 (direct M2), matching fts.sql's seeded source_account_ids; lowercase ""nodal"" matches strings.ToLower",ENV2_COMPOSE/seeds/ledger/ledger.sql,CONTRACT-FAITHFUL,REAL with corrected seeds,"balance,reversal",This specific identifier-alignment concern is NOT the cause of V06/V18 failures; ledger_config rule rows (XPayoutInitiatedV2/XPayoutProcessedV2) noted in-seed as producing zero entries and bypassed via LedgerConfigAPI/CreateInBulk in scripts/up.sh instead — not re-verified this pass,partial,schema-only export of real ledger_config rows for 4-6 payout-relevant transactor events,04
payouts_service,FTS Kafka ingestion (topic names),"Two consumers, exact topic names rx-fts-status-update-events/rx-fts-status-update-retry-events",payouts/config/prod.toml (kafka consumer topic names),Not independently re-verified against the arena's Kafka container topics this pass,n/a,UNKNOWN-BLOCKED,REAL end-to-end (enable fts producer + Splitz on for a merchant),"payout_state,transfer_state",Unknown — not re-verified in twin's own Kafka containers this pass,yes,none,04
payouts_service,"Bulk/admin/approval routes (/v1/payouts/bulk, ManualAction, bulk_approve)","15-row-limit /v1/payouts/bulk, 3-case ManualAction, no bulk_approve route in this repo","payouts/internal/controllers/adminClientController.go:267-356 (ManualAction switch, exhaustive); payouts/internal/routing/router (no bulk_approve route, exhaustive grep)",Not exercised by the golden run's 24 verifiers (none target bulk/admin),n/a,UNKNOWN-BLOCKED,"REAL (routes exist, code-confirmed) — untested by current golden run","approval,repair",Untested in twin; CORRECTION: ARCHITECTURE_DELTA.md's claim that Batch calls POST payouts/bulk_approve directly on PS is wrong — no such route exists in payouts at this commit (see lane 02 correction: it hits the monolith's own payouts/bulk_approve instead),yes,none,04
cron_fastcron,Cron cadence (FastCron SaaS),"FastCron SaaS, external, cadence not in any repo",n/a — architecturally external,seeds/s4/cron_schedule.yaml presumably encodes an assumed cadence for cron-driver's own scheduling,ENV2_COMPOSE/seeds/s4/cron_schedule.yaml,REPRESENTATIVE,label cadence ASSUMED until FastCron export,"payout_state,balance","Not the real FastCron cadence, which cannot be reconstructed from any accessible repo",no,Export of the FastCron job definitions for the payouts service (cron expression per endpoint),04
payouts_service,payouts core tables (34 goose migrations),"34 goose migrations, payouts DB, incl. out-of-band beneficiary_bank_code (deliberate payouts-service-only column, never in monolith)","payouts/internal/database/migrations (51-commit gh history); api/app/Models/Payout/DualWrite/PayoutDetails.php:10-13,63-64",ENV2_COMPOSE runs real goose migrations against mysql-payouts + seeds/schema-patches/payouts.sql for beneficiary_bank_code,ENV2_COMPOSE/seeds/schema-patches/payouts.sql,REAL,REAL,"idempotency,payout_state,merchant_visible_state","Patch's type (VARCHAR(50) NULL) is INFERRED, not confirmed against prod",partial,"SHOW CREATE TABLE payouts.payout_details (schema-only, no rows)",05
fts,fts core tables (55 goose migrations),"55 goose migrations, fts DB, 2 known enum gaps (WALLET_TRANSFER, INDUSIND)",fts/internal/database/migrations (fts.mysql.sql header),"Twin seeds seeds/s4/fts.sql directly into fts-local tables (bank_accounts, fund_accounts, source_accounts, ...); does not pre-seed transfers/attempts (populated at runtime)",ENV2_COMPOSE/seeds/s4/fts.sql,REAL,REAL,"transfer_state,reversal","If twin ever needs mode='WALLET_TRANSFER' or channel='INDUSIND' end-to-end, tracked-migration schema would reject/accept inconsistently with fts's own Go code",yes,none,05
ledger,ledger core tables (51 Postgres goose migrations),"51 Postgres goose migrations, no unique constraint on journal dedup key (genuine production characteristic, not a bug)",ledger/internal/database/migrations,"seeds/s4/ledger.sql (SQL fallback) or ledger_accounts_via_api.sh (Twirp API, recommended per its own header)",ENV2_COMPOSE/seeds/s4/ledger.sql; ENV2_COMPOSE/scripts/ledger_accounts_via_api.sh,REAL,REAL,"balance,reversal","Twin seed file flags an open TODO on paise-vs-rupee unit convention (ledger.sql:18-21) — orthogonal to schema, not a schema drift",yes,none,05
