repository,service_component,role_in_payouts,lifecycle,owner_team,dependency_type,include_in_initial_environment,reason,evidence,confidence
razorpay/payout-links,Payout Links service (Go/Twirp/MySQL),Creates payouts via monolith payouts_internal (Basic Auth + X-Payout-Idempotency); receives status via inbound RPC; own webhooks via Stork,current,"kumar.ayush@, amjad.ali@, vivek.s@",direct + SNS source-update,F0 (env 1); F3 in variants env,Product variant with distinct dependency closure,09_variants_public_api.md; commit 2c81a4d9,confirmed
razorpay/vendor-payments,Vendor Payments (Go),Creates payouts via x.razorpay.com payouts_internal / internalContactPayout / 2FA; PayoutStatusChange inbound RPC; TDS; workflow-service approvals,current,@rxapps-vendorpayouts / mandatoryxreviewers,direct + SNS,F0 (env 1),Variant; not needed for core flows,09_variants_public_api.md; commit 20c4f4d5,confirmed
razorpay/vendor-experience,"Vendor portal/onboarding (Go, Cadence)",No payout calls; calls vendor-payments,current,@razorpay/vendor-onboarding-devs,indirect,F0,Not in closure,09_variants_public_api.md,confirmed
razorpay/charge-collections,Platform Pricing / Charge Collections (Go),Fee engine used by payouts via ccSdk (Governor+CC); creates its own fee-recovery payouts via internalContactPayout; consumes payout-kafka-topic,current,@razorpay/validx-devs? (unclear),direct (sync fee calc) + Kafka,F2 (fee contract stub) / F3 if fee correctness in scope,Fee amount affects ledger debit; failure behaviour pending (15),09_variants_public_api.md; 02 finding 56,probable
razorpay/charge-collections-sdk,Go SDK for charge-collections/Governor,Client library imported by payouts (pkg/ccSdk),current,—,library,F3 (vendored via go.mod),Needed to build payouts,go.mod scan,confirmed
razorpay/virtual-account,Virtual Account service (Go),VA balance_id resolution via x-balances; ledger journal reads; VA-to-VA payout ledger events exist in payouts,current,Co-brand + Onboarding pod,direct (x-balances) ,F0 (env 1); F3 for VA-source payout variant,Only material for VA-funded payouts,06_balances_banking_accounts.md; commit 437f3980,probable
razorpay/accounting-integrations,Accounting Integrations (Go/Cadence),Consumes vendor-payments payout status topic; writes sync_status only,current,mandatoryxreviewers,Kafka (from vendor-payments),F0,Observe-only relative to core payouts,08_downstream_admin.md,confirmed
razorpay/x-bank-statement-sync,(empty repo),No source,planned/stale,—,—,F0,Empty,08_downstream_admin.md,confirmed
razorpay/self-serve-analytics,Data platform (Spark/Iceberg/dbt/ClickHouse),"Consumes CDC lake tables realtime_hudi_api.payouts, realtime_fts_live.transfers",current,Analytics,CDC,F0,Observe-only,08_downstream_admin.md,confirmed
razorpay/admin-dashboard,Internal admin UI (React) → monolith admin routes,"Force status update, reject/cancel, retry, manual_action (processed→processing, workflow approve/reject, redis), FTA update, fee recovery, statement manual link",current,per-directory owners; no payouts owner,direct (via monolith),F2 (admin-action contract via PS internal routes) in env 4; F0 otherwise,Privileged mutations exist; server-side authz unverified (monolith inaccessible),08_downstream_admin.md; commit e29bdf98,confirmed
razorpay/relay,Config server (relay changes across apps),Polled by FTS (relay.poll.interval=15s); purpose in payouts path not traced,current,—,config,F1/F0,Config distribution; not payout logic,03_fts.md §10,inferred
razorpay/frontend-x,"x-customer-payout-links (payee page), vendor portal (federated)",Payee-side payout-link fulfilment via public API with OTP,current,sumit-gupta91 et al.,direct (public API),F0 (env 1); F3 for payout-links env,Variant entry,07_frontend_bff.md,confirmed
razorpay/dashboard,PG merchant dashboard,Hosts X federated bundle under /banking/*; no native payout create; generic /merchant/api proxy,current,Dashboard team,indirect,F0,Not on X payout path,07_frontend_bff.md,confirmed
razorpay/razorpay-mcp-server,Public MCP server over razorpay-go,Read-only fetch payout tools,current,—,public API,F0,Observer,09_variants_public_api.md,confirmed
razorpay/markdown-docs,Public API docs source,"Public contract for /v1/payouts, statuses, webhooks, idempotency",current,Docs,documentation,reference,Contract source for F2 substitutes,09_variants_public_api.md,confirmed
razorpay/agent-skills,Central agent skills (incl. domain KBs),Contains repo-skill docs used by lanes; architecture facts partly stale (ledger Kafka claim),current,—,documentation,reference,Input only,04_ledger.md unresolved #3; 10 (pending),probable
razorpay/data-mcp,empty template,—,stale,—,—,F0,Empty,08,confirmed
razorpay/tejas,empty template,—,stale,—,—,F0,Empty,08,confirmed
razorpay/memoir,eBPF/TLS traffic recorder sidecar,Generic tooling,current,—,—,F0,Not payout logic,08,confirmed
razorpay/python-foundation,Python base lib,—,current,—,—,F0,Unrelated,stack scan,confirmed
razorpay/security-action,GitHub security action,—,current,—,—,F0,Unrelated,stack scan,confirmed
razorpay/api (NOT ACCESSIBLE),API monolith (PHP),"Edge→API→PS proxy layer today; dashboard authenticate (IP allowlist, merchant_users membership), payouts_internal/internalContactPayout routes for variants, /v1/update_fts_fund_transfer legacy FTS webhook receiver, admin routes, workflow module, batch proxy, balance table, contacts/fund_accounts MySQL, dual-write consumers, card beneficiary registration for CFA",current (being decomposed),Payouts team (app/Models/Payout) + core API,direct (in-path),MUST be F3 or a high-fidelity F2 for authentication/proxy/legacy-webhook; cannot be F1,In-path for every dashboard/API request until Kong cutover completes; owns reversed/failed relay for non-rolled-out merchants,"01,02,03,05,06,08,09,11 findings",confirmed
razorpay/authz (NOT ACCESSIBLE),"AuthZ policy service (Consul-synced, goutils/authz enforcer)","X dashboard role policies (finance_l1/l2/l3, view_only), PR 2577 pilot policies for payouts timeslots route",current,Spine-Edge (#platform_spine_edge_oncall),config/policy,F2 (policy bundle export) — must not be F1,Authorization control,11_slack_evidence.md B,probable
razorpay/terraform-kong (NOT ACCESSIBLE),Edge/Kong routes & plugins,"Route→upstream (monolith vs PS), basic-auth-x, upstream-jwt (passport minting), rate limits, IP restriction, payouts-proxy-cutover template",current,Spine-Edge,config,F2 (rendered route export) — routing control,Determines which service serves a route,11_slack_evidence.md A/B,probable
razorpay/stork (NOT ACCESSIBLE),Webhook/SMS/email delivery,Merchant payout.* webhooks (no ordering guarantee),current,#tech_infra_stork,direct (Twirp from PS),F2 (Twirp contract stub + capture),Merchant-visible final state delivery,02 findings 24-28; 11 E,confirmed
razorpay/mozart (NOT ACCESSIBLE),Bank gateway platform,"All bank protocol adapters for FTS transfers, x-balances polling, XAS statements",current,Mozart/NB+ team,direct (HTTP from FTS),F2 (bank simulator implementing FTS's 8 Mozart operations),External bank boundary,03_fts.md §6,confirmed
razorpay/dcs (NOT ACCESSIBLE),Dynamic Config Service,"Merchant feature flags incl. payout_workflows, skip_* flags, in_flight_reservation_enabled, skip_ifsc_lookup",current,Common Platforms (#tech_infra_dcs),config,F2 (config export / stub with real values) — behaviour-determining,Approval applicability depends on it,11 F/J; 05; 06,confirmed
Splitz (repo name unknown; NOT ACCESSIBLE),Experimentation service,"Shadow-gateway mode, CreateTransferMetaRollout, FireStatusUpdateKafka, idempotency ramp-up, dual-write direct push, workflow DCS-name experiment",current,Growth/Platform,config,F2 (deterministic variant stub with recorded assignments),Routing/behaviour control,"01,02,03",confirmed
Batch service (repo name unknown; NOT ACCESSIBLE),Batch processing service,"Bulk payout file processing, bulk approvals; dashboard still proxies via monolith",current,Central platform,direct (from xperience/monolith),F3/F2 for bulk env; F0 env 1,Bulk closure differs,07; 11 H,probable
Workflow service (repo name unknown; NOT ACCESSIBLE),Approval workflow engine,"Called by payouts pkg/workflow, vendor-payments, payout-links; dev host = monolith stub",current,—,direct,pending (12) — likely F2/F3,Approval control,01 #14-15; 09,inferred
Shield (NOT ACCESSIBLE),Risk rules engine,Payout rule evaluation via shield-sdk (200ms timeout),current,Risk,direct,F2 (allow-all + recorded rules) ,Reject control,02 #52-54,confirmed
Account Service / ASV (NOT ACCESSIBLE),Merchant/account metadata gRPC,"Merchant activation, account lookups",current,—,direct,F2,Merchant identity,02 #19; 06,probable
Governor (NOT ACCESSIBLE),Pricing rules engine,Fee rule evaluation via ccSdk,current,Pricing,direct,F2,Fee transform,02 #56,confirmed
UPS / UPI service (NOT ACCESSIBLE),VPA mapping,VPA validation/mapping for UPI payouts,current,UPI,direct,F2,Beneficiary transform for UPI,02 client table,probable
Vault / HVault (NOT ACCESSIBLE),Card tokenization / secrets,Card fund accounts; secrets,current,Platform,direct,F2 / infra,Only for card mode,02; 05,confirmed
razorpay/recon (NOT ACCESSIBLE),ART reconciliation,3-way statement/payout/main_statement match; touches FTS attempts via ART auth,current,Recon team (#rx-recon),direct (to FTS) + data,F0 (env 1); F2 later,Post-hoc; can drive manual repair,03 route table; 11 D,probable
razorpay/kube-manifests / spinacode (NOT ACCESSIBLE),Deployment manifests / Spinnaker pipelines,"Cron schedules, env vars, service accounts, replicas",current,Infra,deployment,needed as export,Cron cadence unknown without them,02 unresolved #8; 05,confirmed
razorpay/knowledge-base (NOT ACCESSIBLE),RKG / Graphify graphs incl. payouts platform (PR #157),Existing knowledge graph for 6 payouts services,current,Discover team (#discover-knowledge-base),documentation,reference,Would accelerate verification,11 J,confirmed
"razorpay/goutils, ledger-sdk, config-proto, rpc, proto, error-mapping-module, governor-executor, pg-sdk, shield-sdk, rzpconv, business-verification-service-sdk-go (NOT ACCESSIBLE)",Shared Go libraries,"Passport auth middleware, authz enforcer, splitz/dcs clients, kafka/sqs workers, ledger client, proto contracts",current,Platform,library,REQUIRED to build any F3 service (via private module proxy or vendoring),Build blocker,go.mod scan; 10 (pending),confirmed
