repository,visibility,archived,default_branch,last_updated,listable,searchable,cloneable,submodules_accessible,internal_dependencies_accessible,graphify_available,reason_if_blocked
razorpay/branch-cleanup-action,public,false,master,2025-07-23T21:13:37Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/cfa,private,false,master,2026-09-02T23:07:43Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit d488558e162c08e9fa04dff005f27d846ce88ad2)",no: razorpay/proto (NOT accessible),partial: blocked=config-proto|goutils,no (no graphify-out/graph.json in repo),
razorpay/chaos-mesh,public,false,master,2025-07-23T21:22:43Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/charge-collections,private,false,master,2026-09-03T10:18:28Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 412816c70d569abd9a8220a4c320a994ceec2883)",n/a (no .gitmodules),partial: blocked=error-mapping-module|goutils|governor-executor|ledger-sdk|pg-sdk|rpc|rzpconv,no (no graphify-out/graph.json in repo),
razorpay/charge-collections-sdk,private,false,master,2026-09-03T11:44:12Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/checkout-action,public,false,main,2026-08-30T06:23:54Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/checkout-demo-extension,public,false,master,2026-07-15T09:40:45Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/checkout-swift,public,false,master,2026-07-15T09:40:49Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/citadel,public,false,main,2026-07-15T09:40:55Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/cloudsploit-scans,public,false,master,2025-07-23T21:10:31Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/commerce_razorpay,public,true,master,2017-05-04T20:28:27Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/commerce_razorpay_D8,public,true,master,2017-12-08T12:49:56Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/common-frontend-utils,public,false,master,2026-07-23T10:26:45Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/component.js,public,false,master,2026-07-23T10:26:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/concierge,public,false,master,2026-08-03T13:46:36Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/create-comment,public,false,main,2026-08-28T09:58:32Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/create-github-app-token,internal,false,master,2026-09-01T10:07:04Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/cryptocows-whitepaper,public,true,master,2018-03-31T16:59:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/darts,public,true,gh-pages,2016-09-29T10:04:42Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/dashboard,private,false,master,2026-09-03T12:20:23Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 60ed3c781ded186ad38c41ea8f9fc90b7f3cd7c3)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/data-mcp,internal,false,master,2026-07-22T20:59:03Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit b4de7d692b9a24add07cf9da036574adcbfe92ed)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/devstack,public,false,master,2026-08-28T09:58:36Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/distribution,public,false,main,2026-08-28T09:58:40Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/django-DefectDojo,public,true,master,2023-09-21T18:20:04Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/docker,public,true,master,2017-11-07T08:44:10Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/docker-alpine-wkhtmltopdf,public,false,master,2025-09-15T06:44:12Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/docker-build-push-action,public,false,master,2026-08-28T09:58:44Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/docker-login-action,public,false,master,2026-08-28T09:58:49Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/dot-settings,public,false,master,2026-07-15T09:42:36Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/drone-kubernetes,public,true,master,2019-02-25T09:12:59Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/drone-s3-cache,public,false,master,2025-09-15T06:43:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/drupal_commerce_razorpay,public,false,master,2026-07-15T09:42:41Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ec2-metadata,public,false,master,2025-09-15T06:30:51Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/etcd-backup,public,false,master,2025-07-23T21:10:08Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/fluentd-kubernetes-sumologic,public,true,master,2019-05-30T05:36:06Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/frontend-care,private,false,main,2026-09-03T12:07:05Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/frontend-universe,private,false,master,2026-09-01T18:20:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/frontend-x,private,false,master,2026-09-01T18:20:40Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit efe5df3d26ec5bfaef69b8cb66fb558674cd960f)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/fts,private,false,master,2026-09-03T11:29:20Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 2a09e763116db47a2f28553c677ad73ef8133ebf)",n/a (no .gitmodules),partial: blocked=error-mapping-module|goutils,no (no graphify-out/graph.json in repo),
razorpay/ftx-hackathon,public,false,master,2026-07-15T09:47:59Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/genesis,public,false,master,2026-08-28T09:58:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/gh-find-current-pr,public,false,master,2026-07-20T13:20:47Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/go-financial,public,false,master,2026-08-03T08:38:49Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/go-money,public,false,master,2025-07-23T21:36:54Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/go-openssl,public,false,master,2026-08-03T11:14:52Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/go-rwp,internal,true,main,2023-06-05T12:53:29Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/golib,public,false,master,2026-08-28T09:58:58Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/gollum-setup,public,true,master,2021-11-11T23:03:03Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/goredis,public,false,master,2025-07-23T21:28:23Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/gorm,public,false,master,2026-08-03T11:15:09Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/govalidator,public,false,master,2025-09-15T06:44:56Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/govaluate,public,false,master,2025-09-15T06:45:21Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/harbor,public,false,main,2026-04-16T06:55:13Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/helm-git,public,true,master,2022-10-10T13:19:09Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/helmfile,public,true,main,2022-09-09T08:31:11Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hermes,public,false,main,2026-08-28T09:59:02Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/homebrew-razorpay-cli,public,false,master,2026-07-15T09:48:59Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-attribute-service,public,true,main,2023-05-16T10:51:21Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-config-bootstrapper,public,true,main,2023-05-16T10:47:31Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-config-service,public,true,main,2022-09-30T16:34:25Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-entity-service,public,true,main,2022-09-30T16:35:30Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-gateway-service,public,true,main,2022-12-07T14:20:23Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-hypertrace-graphql,public,true,main,2022-12-28T07:33:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-ingester,public,true,rzp_main,2023-09-18T11:58:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-pinot-docker,public,true,main,2023-05-16T10:48:11Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-query-service,public,true,main,2023-05-12T11:19:58Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-service,public,true,rzp_main,2023-06-14T20:46:44Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/hypertrace-ui,public,true,rzp_main,2023-08-10T04:10:29Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/i18nify,public,false,master,2026-09-03T09:54:21Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/i18nify-react,public,false,master,2026-08-28T09:59:07Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ifsc,public,false,master,2026-09-01T11:55:03Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ifsc-api,public,false,master,2026-09-02T11:35:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/imagepullsecret-patcher,public,false,master,2026-08-28T09:59:25Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/incubator-livy,public,false,master,2025-09-15T06:50:03Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/incubator-pinot,public,false,master,2025-12-04T14:23:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/IT-Team---Public-Bucket,public,false,master,2025-07-23T21:43:48Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/k6,public,false,master,2026-08-28T09:59:30Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/kong-pongo,public,false,master,2026-08-28T09:59:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/kong-template,public,true,master,2021-02-04T04:37:58Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/konga,public,false,master,2026-08-28T09:59:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/kubestash,public,false,master,2025-09-15T06:44:02Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/kubestash-v2,public,false,master,2025-09-15T06:52:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/Laravel-Excel,public,false,3.1,2025-09-23T13:48:23Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/laravel-settings,public,false,master,2025-09-15T06:43:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/Laravel-Throttle,public,false,master,2025-09-15T06:34:43Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ledger,private,false,master,2026-09-03T12:01:19Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 471ff4d5321b6b99a7965882d18f572a1adf5194)",n/a (no .gitmodules),partial: blocked=error-mapping-module|goutils|ledger-sdk|pg-sdk|rzpconv,no (no graphify-out/graph.json in repo),
razorpay/list-files-in-pr,public,false,master,2026-08-28T09:59:44Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/lqext,public,false,master,2026-07-15T09:50:48Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/lytics.js,public,false,master,2026-07-15T09:50:56Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/magic-clickstream,internal,false,master,2026-09-03T05:30:00Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/markdown-docs,public,false,master,2026-08-27T07:15:28Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit ab3bda5f11c308034b2089df532df1064db1df7c)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/memoir,internal,false,master,2026-09-03T05:30:33Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 2fc93c6630102261a3b7ca000a9904a3dce19f5b)",n/a (no .gitmodules),yes,no (no graphify-out/graph.json in repo),
razorpay/metro,public,false,master,2026-09-02T10:52:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/metro-proto,public,false,master,2026-08-28T09:59:48Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/MISP,public,true,2.4,2022-05-18T12:12:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/n8n-nodes-razorpay,public,false,master,2026-07-15T09:52:09Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ndbench,public,false,master,2025-09-15T06:46:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/oauth-5-laravel,public,false,master,2025-09-15T06:51:25Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/offsite_payments,public,true,master,2022-01-21T10:27:14Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/omnigollum,public,true,master,2022-02-26T05:40:10Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/omnipay-razorpay,public,false,master,2026-08-05T12:56:17Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/opencensus-php,public,false,master,2026-08-28T09:59:57Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/opencensus-php-exporter-jaeger,public,false,master,2026-08-28T09:59:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/opensource.razorpay.com,public,false,main,2026-08-28T10:00:02Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment-button-elementor-plugin,public,false,master,2026-07-15T09:53:26Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment-button-siteorigin-plugin,public,false,master,2026-07-15T09:53:28Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment-button-visual-composer,public,false,master,2026-07-15T09:53:30Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment-button-wordpress-plugin,public,false,master,2026-07-15T09:53:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment_button_drupal_plugin,public,false,master,2026-07-15T09:53:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payment_button_joomla_plugin,public,false,master,2026-07-15T09:53:24Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/payout-links,private,false,master,2026-09-03T05:32:57Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 2c81a4d97f961794fa8a95ec8580311203460bdf)",n/a (no .gitmodules),partial: blocked=error-mapping-module|goutils,no (no graphify-out/graph.json in repo),
razorpay/payouts,private,false,master,2026-09-03T12:10:39Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 4bf3dbf9239feadea6d65ca90c893a988e116173)",n/a (no .gitmodules),partial: blocked=config-proto|error-mapping-module|goutils|governor-executor|ledger-sdk|shield-sdk,no (no graphify-out/graph.json in repo),
razorpay/php-bloom-filter,public,true,master,2017-07-24T14:03:34Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/PHPExcel,public,false,1.8,2025-09-15T06:46:38Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/presto-gateway,public,false,master,2025-09-15T06:48:31Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/proto-api-docs-action,public,false,main,2026-07-15T09:54:50Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/public-presentations,public,false,master,2026-07-15T09:54:56Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/python-foundation,internal,false,master,2026-09-03T05:33:49Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 6ad04a1e23efbaa3892821e4a384bd5eec5d6b9d)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/ranger,public,false,master,2026-08-28T10:00:07Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razor-analytics,private,false,master,2026-09-03T05:34:08Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razor-analytics-plugins,private,false,master,2026-09-03T05:34:11Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-ai-tools,private,false,master,2026-09-03T05:34:28Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-android-custom-sample-app,public,false,master,2025-07-23T21:06:14Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-android-sample-app,public,false,master,2026-08-28T10:00:11Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-arastta,public,false,master,2026-09-02T12:59:23Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-banking-wrapper-sdk,public,false,master,2026-07-15T09:56:19Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-banking-wrapper-sdk-ios,internal,false,master,2026-07-22T22:45:49Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-capacitor,public,false,master,2026-08-04T19:44:42Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-cli,public,false,master,2026-08-28T10:00:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-cordova,public,false,master,2025-10-24T07:04:31Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-cordova-sample-app,public,false,master,2026-06-11T09:28:40Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-cscart,public,false,master,2026-07-15T09:56:24Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-customui-pod,public,false,master,2026-09-02T08:03:49Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-dot-net,public,false,master,2026-08-28T10:00:25Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-dotnet-testapp,public,false,master,2026-07-15T09:56:34Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-edd,public,false,master,2026-07-15T09:56:36Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
