category,artifact_needed,internal_system,specific_object,why_needed,likely_owner,minimum_permission,request_path,safe_export_option,synthetic_fallback,fidelity_without_it,evidence,confidence
D. Data definitions,Effective DB schemas + indexes for all F3 services,"MySQL (payouts, fts, x-balances, banking-accounts, xas), Postgres (ledger rx), MongoDB (cfa), TiDB","In-repo goose/GORM migrations exist for payouts, fts, ledger, cfa, x-balances, xas; TiDB payouts_temp schema NOT in repo; API monolith MySQL schema (balance, contacts, fund_accounts, bank_accounts, merchants, features) NOT accessible","Migrations can rebuild own DBs; monolith DB and TiDB schemas needed for fallback-read paths (cfa APIStore, x-balances APIStore, payouts db.api)",Service owners; API monolith DB owners,schema-only dump (no rows) of api DB tables referenced + TiDB payouts_temp DDL,#tech_it / #x-payouts-reliability,Yes: DDL only,Run migrations; for api DB create minimal DDL from cfa APIBalance/APIStore structs and x-balances model (fields enumerated in code),Fallback-read paths (merchant not yet in x-balances/cfa) degrade,05; 06; 01 #19-20,confirmed
D. Data definitions,CDC/outbox topology,"Debezium/Maxwell, Hudi lake, XAS CDC topic",mysql_cdc_events_prod_rx_account_statements_*; realtime_hudi_api.payouts; payout-kafka-topic (charge-collections producer unknown); ledger outbox (PG only),Determines downstream observers; none mutate payout state in core flows,Data platform / Datastores,topic inventory,#gandalf,Yes,Omit in env 1 (F0); note as observe-only,Analytics/billing not represented,"08 #7,#11; 09 charge-collections",probable
E. Build and deployment,Private Go modules,"Private module proxy / GitHub (goutils, ledger-sdk, config-proto, rpc, proto, error-mapping-module, governor-executor, pg-sdk, shield-sdk, rzpconv, bvs-sdk, charge-collections-sdk)",github.com/razorpay/goutils (313 imports) etc.; cfa submodule razorpay/proto; xperience protos from buf.build/razorpay/xperience,Cannot compile ANY F3 service without them,Platform / DevEx (#tech_it),read on the module repos (or GOPROXY/GONOSUMDB access) + BSR read,#tech_it: request read on listed repos; ask for GOPRIVATE proxy details and buf.build org access,Vendored module cache tarball (go mod vendor) produced by an engineer with access,None — hard blocker,go.mod scan; 10 §6,confirmed
E. Build and deployment,Rendered manifests / Spinnaker pipelines / image digests,"kube-manifests, spinacode (v3/{payouts,fts,cfa,...}), Harbor c.rzp.io","Deployments, CronJobs (schedules!), ConfigMaps, HPA, sidecars, base images rzp-golden-image-base-golang-1.2x",Reproduce process topology and cron cadence; base images for builds,Infra (Spinnaker) + service owners,read on kube-manifests + spinacode; pull on Harbor for base images,#tech_it,Yes: rendered YAML for one env,Write own docker-compose/k8s from Dockerfiles; guess cron cadence,Timing behaviour unverified,10 §1,confirmed
F. Event infrastructure,Topic/queue inventory with consumer groups and DLQs,"MSK Kafka, SQS, SNS","Kafka: rx-fts-status-update-events, fts_status_updates_retry, add-tds-entry, payout-kafka-topic, vendor-payments topics; SQS: ~25 payouts jobs, cfa dual-write queues, x-balances balance_refresh/payout_events, xas 12 queues, ledger jobs; SNS: source_update_topics per source type, journal-created",Must recreate for workers; ordering/DLQ semantics affect status propagation,Datastores (#gandalf) + service owners,DESCRIBE on topics; queue list,#gandalf,Yes,LocalStack + local Kafka with same names; no DLQ for FTS webhook (by design),Low if names/partitions preserved,02 §3; 03 §9; 04; 06; 08,confirmed
G. Bank and third-party integrations,Mozart API contract for FTS's 8 operations + per-bank response/error-code catalogue,"razorpay/mozart (inaccessible); fts/internal/providers/mozart/error_code.go (818 lines, accessible)","transfer_init, transfer_status, gateway_auth, gateway_session, beneficiary_verify, beneficiary_register, fetch_account_balance, create_otp; bank status flags processed/failed/reversed/retry/user_pending; UTR; duplicate txn; CBS:188/7161, proxy 401, NSE404, ER028 policies",F2 bank simulator must reproduce the state transitions FTS keys on,Mozart / NB+ team (#payments_nbplus),read on mozart repo OR the request/response schema per gateway,#tech_it,Yes: sanitized recorded request/response pairs from stage,Simulator built from fts's mock-server (cmd/mock-server) + error_code.go + config matrix; ITF mock-gateway exists per Slack,"Bank edge cases (delayed success, ambiguous) only as good as recorded fixtures",03 §6; 11 I (ITF mock-gateway),confirmed
G. Bank and third-party integrations,Bank sandbox availability / certificate metadata,Banks via Mozart; Axis/JPMC SFTP; ICICI OPGSP,"cert types, signing mechanism per bank (metadata only)",Only if real bank connectivity desired (not for env 1),FTS/Mozart teams,none for env 1,n/a,n/a,F2 simulator,n/a,03 §6,confirmed
H. Runtime evidence,Sanitized traces/logs of successful + failed payout journeys,"Coralogix (razorpay-prod.app.coralogix.in), HyperDx, Grafana (grafana.razorpay.com), Prometheus","trace events WORKFLOW_CREATE_PAYOUT_FLOW, IsWorkflowApplicable, INFLIGHT_GATE_DECISION, PAYOUT_UTR_UPDATED_FROM_TRANSFER_STATUS_WEBHOOK, TransferWebhookUpdateFailureCount, StuckPayoutsCount; incident threads for pout_TVcGW8Kil6WIjj","To confirm which path (direct vs relay, Kafka vs HTTP) real traffic takes and timings","Payouts on-call (#x-payouts-reliability, #payout-service-alerts)","read-only Coralogix for stage/prod payouts, fts, ledger",Ask in #x-payouts-reliability; Coralogix access via #tech_it,Yes: redacted trace exports,None,PRODUCTION_REPRESENTATIVE status unattainable,11 D; 10 §7,confirmed
I. Testing,"DevStack / ITF E2E setup, test-data manager merchants, mock gateway","DevStack v2, e2e-test-orchestrator, Test Data Manager (/v1/testdata/merchant), ITF mock-gateway, fts cmd/mock-server, SLIT harnesses","payouts e2e/ (DEVSTACK_LABEL), fts e2e/ + itf-e2e.yml, x Playwright e2e/payouts.spec.ts, xperience slit/, test merchants per variant, Devstack Failure Classifier",Reuse golden flows and fixtures; real payouts→FTS→Mozart→mock-gateway chain already exists in ITF,"Platform-DevStack (#platform-devstack), Payouts (Preetham M R)",devstack namespace + orchestrator access; e2e-test-orchestrator & qa-tools repo read,#platform-devstack; #tech_it for e2e-test-orchestrator/qa-tools,Yes: fixture exports,Build own fixtures from e2e/dataProvider in payouts,Slower; risk of drift from golden flows,11 I; 10 §8,confirmed
I. Testing,Fault injection / bank failure simulation,ITF mock-gateway,ability to script processed/failed/reversed/delayed/ambiguous responses,Flow F/I coverage,FTS team,access to mock-gateway config,#x-payouts-reliability,n/a,Extend fts cmd/mock-server,Reduced edge-case coverage,03 §6,probable
J. Service catalog and ownership,Service→repo→team→on-call mapping,"servicetree.yaml (ledger only), .github/repo_owners.json (all repos), RKG knowledge-base, Slack channels","payouts EM kumar.ayush@ (Business Banking); xperience/xas/payout-links EM abhishek.sk@ (Payouts Platform); vendor-payments/VA EM apurva.shivkumar@; ledger Platforms/Recon EM aditya.jalan@; fts has no catalog file; Slack: #x-payouts-reliability, #payout-service-alerts, #stuck-payouts-alerts, #rx-recon, #fin_infra_ledger, #platform_spine_edge_oncall",Route access requests and unresolved questions,DevEx / Discover team,read on razorpay/knowledge-base,#tech_it; #discover-knowledge-base,Yes: RKG export for the 6 payouts services (knowledge-base PR #157),Use repo_owners.json + Slack ownership table compiled here,"Ownership gaps for fts, cfa",10 §10; 11 J/K,confirmed
J. Service catalog and ownership,API monolith source for payout/proxy/auth/admin/workflow modules,razorpay/api (PHP),"app/Models/Payout, workflow module, /v1/update_fts_fund_transfer, payouts_internal routes, dashboard authenticate endpoint, admin routes, dual-write consumers, balance/bas module",Monolith is in-path for dashboard/API/variant/admin flows and legacy FTS relay; cannot be substituted by F1,Payouts team + core API owners,read on razorpay/api,#tech_it tagging IT bot with handle + repo + read + reason,Not practical (huge repo); request read,High-fidelity F2 only for the ~10 monolith endpoints PS depends on (list in 14) — insufficient for dashboard auth,"Flows A, C (legacy), G, admin paths remain CODE_CANDIDATE at best",all lanes,confirmed
