component,route_family,implementation_kind,max_confidence,material_difference,source_refs,local_implementation,patch_classification,behavior_change_risk,verification_status,next_evidence
Kong-lite,merchant Basic auth and RS256 passport,substitute,source-backed public merchant shape; limited edge fidelity,Synthetic key dictionary and signer; limited passport shape; no full Edge/AuthZ/impersonation/admin/identification-only behavior,TWIN_SPEC/substitute-contracts/kong-lite.md; edge:kong-plugins/kong-plugin-upstream-jwt/kong/plugins/upstream-jwt/access.lua:86-205,ENV2_COMPOSE/substitutes/kong-lite/server.py,substitute_fidelity + safety,"Bypassing full Edge plugins can hide key lifecycle, actor and policy errors",Replay19/20 authenticated creates and V20 negative cross-tenant fetch/cancel checks passed,Full Edge/AuthZ/passport/role/OTP policy coverage
Public API ingress,merchant API -> Edge -> monolith -> PS,representative,direct-diversion-shaped PS call only,Local Kong routes directly to Payouts; monolith create middleware and classic V1/V2 enrichment are absent,api@2d665f918b60e917ec92be648fb5816d247f72b1:app/Models/Payout/DirectToPayoutsServiceGate.php:59-136; TWIN_SPEC/route-matrix.yaml:public_api_create,ENV2_COMPOSE/substitutes/kong-lite/server.py,substitute_fidelity,Cannot generalize direct-shaped results to complete production public API ingress,Selected service ingress accepted in replay19/20; full real API monolith public ingress remains unimplemented,Separate source-backed monolith ingress implementation and middleware contract tests
Dashboard/BFF/AuthZ/OTP,dashboard payout creation and role enforcement,unknown,not implemented,"No dashboard session, OTP/Raven, role-policy or dashboard actor propagation implementation",TWIN_SPEC/route-matrix.yaml:dashboard_create; TWIN_SPEC/components.yaml:dashboard_bff,TWIN_SPEC/substitute-contracts/kong-lite.md,none_missing_scope,"Fixture passports do not prove OTP, role or maker-checker authorization",Not implemented,Explicit fake-login/OTP contract or isolated real service acceptance
Internal application ingress,payout_links/vendor_payments/xpayroll etc.,unknown,not implemented,Real Payouts routes exist but application passport allowlist/monolith internal ingress caller absent,payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/auth/headers.go:11-25; TWIN_SPEC/route-matrix.yaml:internal_app_create,TWIN_SPEC/route-matrix.yaml,none_missing_scope,Merchant API test results cannot establish application identity or internal routes,Not implemented,Application-shaped passport and actor propagation contracts
Batch/bulk caller,CSV bulk create and approve,unknown,Payouts bulk handler is real; caller family unimplemented,No Batch chunking/retry/idempotency driver or bulk approval ingress,TWIN_SPEC/substitute-contracts/batch-service.md; payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/app/payouts/bulkPayoutsProcessor,TWIN_SPEC/substitute-contracts/batch-service.md,none_missing_scope,Individual create tests do not cover item-level partial failure or bulk retries,Not implemented,Thin source-backed Batch driver and per-item idempotency evidence
Monolith create FTA,PS -> monolith create_fta -> FTS,representative,source-backed request/guard; durability remains representative,"Parameterized Payouts DB read, one-second timeout and retry; FTA locks/completed map/retries are process-local",api@2d665f918b60e917ec92be648fb5816d247f72b1:app/Models/Payout/Repository.php:5313; app/Models/Payout/Processor/Base.php:4687; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/monolith-stub/server.py,substitute_fidelity,"No durable API FTA transaction, production mutex or complete source-account submerchant semantics","Adapter tests, final boot20 golden and six route cases passed; final replay19/20 selected flows passed; all corresponding audits passed",Restart/retry durability or real API FTA implementation
Monolith status relay,FTS -> monolith details/status -> PS,substitute,source-confirmed adapter DTO/order; representative persistence,"Details then status relay, source-account metadata, no acknowledgement of failed downstream calls; no full durable FTA save",api@2d665f918b60e917ec92be648fb5816d247f72b1:app/Models/FundTransfer/Attempt/Core.php:487-560; app/Services/PayoutService/Status.php; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/monolith-stub/server.py,substitute_fidelity,Process-local terminal suppression and retry state differ from real durable API,"Final boot20 monolith golden/routes and retained mixed2 golden passed with actual details/status relay, balanced accounting and signed delivery; audits passed; narration regression retained","FTS request, ordered downstream calls, retry and final payout evidence"
Direct create + direct HTTP status,PS async worker -> FTS -> PS,real,source-confirmed selectors/DTO adapter and bounded audited route execution,Real branch selected by deterministic local profile and explicit synthetic Splitz IDs,payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/app/payouts/core.go:5931; pkg/fts/base.go:95; fts@2a09e763116db47a2f28553c677ad73ef8133ebf:internal/transfer/service.go:1138-1178; reports/implementation/ROUTE_SOURCE_EVIDENCE.md,ENV2_COMPOSE/config/routes.py,runtime_wiring + synthetic_fixture,Flag intent is not hop proof; queue-push failure can fall back to monolith,"profile-direct2/golden passed, including actual worker create response, transfer_meta.origin_service=payouts and direct FTS HTTP callback; audit passed.",Nonempty API savings vocabulary remains unsupported; production rollout settings remain unknown.
Direct create + legacy status,PS async worker -> FTS -> monolith -> PS,representative,source-confirmed selectors; representative monolith boundary,Separately selectable create/return paths; status persistence inherits monolith substitute limits,fts@2a09e763116db47a2f28553c677ad73ef8133ebf:internal/transfer/service.go:1147-1178; reports/implementation/ROUTE_SOURCE_EVIDENCE.md,ENV2_COMPOSE/config/routes.py; ENV2_COMPOSE/substitutes/monolith-stub/server.py,runtime_wiring + substitute_fidelity,Account type alone cannot identify transport route,profile-mixed2/golden passed with actual direct-create response and monolith status relay; no monolith create call; audit passed.,Durable full-monolith side effects and production route variants remain outside proven scope.
Kafka processed status,FTS raw producer map -> PS Kafka DTO,real,source-confirmed mismatch; successful accounting not established,Direct-account clean Kafka payout passes. Shared consumer cannot enqueue Ledger processing because Kafka bootstrap omits process-local job registration. Raw DTO also lacks expected internal account metadata; that later issue was not reached in the failed Shared run.,"payouts internal/boot/boot_kafka_consumer.go:29; internal/boot/handler.go:112,154; internal/worker/manager.go:186; internal/taskHandlers/fts_status_updates.go; fts internal/transfer/service.go; reports/implementation/KAFKA_ROUTE_EVIDENCE.md",ENV2_COMPOSE/config/routes.py,runtime_wiring; source_gap_preserved,Shared processed accounting may fail; translating injected payloads would falsely improve raw route fidelity,"profile-kafka2/direct-account passed; profile-kafka/golden Shared failed initiated/FTS PROCESSED, no processed journal or terminal receipt. Raw consumption and egress observed in both. Direct auxiliary dual-write still logs unregistered-job errors; prior Direct-after-Shared timeout remains inconclusive.",Upstream job-registration and DTO contract decisions; preserve current failed invariant in baseline.
Kafka failed/reversed status,FTS -> PS Kafka consumer terminal handling,real,source-confirmed drop behavior,Consumer returns nil for failed/reversed; consumed event need not change payout,payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/taskHandlers/fts_status_updates.go:57-62; reports/implementation/ROUTE_SOURCE_EVIDENCE.md,ENV2_COMPOSE/config/routes.py,source_gap_preserved,A consumed event is not a passed terminal-state scenario,Pinned source explicitly drops failed/reversed. No terminal convergence claim or injected repair is made; source gap remains visible.,Unmodified failed/reversed message observation and unchanged payout evidence
Mozart simulator,transfer_init/status/beneficiary/balance,representative,limited source-backed response examples; not gateway-equivalent,Explicit per-attempt scenarios and return_utr controls; gateway/version parsed then ignored; finite code catalog and in-memory poll state,TWIN_SPEC/substitute-contracts/mozart-sim.md; mozart:app/mock/mappings.go; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/mozart-sim/server.py,substitute_fidelity + synthetic_fault_control,"Can hide gateway/version schemas, bank-code classification gaps and restart/retry differences",Final-acceptance six bank cases passed with real FTS classifications and zero-egress audit; final replay19/20 held-response checks passed,Gateway/version-specific mapping and additional codes for real FTS classification buckets
Real Mozart mock mode,real gateway adapter -mock,unknown,not built in current admitted package,Private orchestrator/integrations-go/integrations-utils dependencies unavailable in prior build; built-in mock selector coverage also limited,"mozart@bf4688300d4896500fb9e9f422ee28d80d81b6e6:go.mod:28,54,55; reports/implementation/CONTRACT_FIXES.md",ENV2_COMPOSE/build/mozart.Dockerfile,none_blocked_dependency,Simulator must not be relabeled the real Mozart mock,Prior private-module access failure; no new build attempt,Approved dependency availability plus clean real-mock build and isolated contract comparison
Monolith dual-write and auxiliary sinks,dual_write/create_ledger/free_rollback/source-update,representative,selected response shape only,Corrected success/subscriber response shapes; several side effects remain log/sink or process-local state rather than durable API transactions,TWIN_SPEC/substitute-contracts/monolith-stub.md; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/monolith-stub/server.py,substitute_fidelity,"Acknowledgement cannot prove durable dual-write, reward-credit rollback or downstream consistency",Adapter tests passed; durable side effects unimplemented,Persisted source-backed API rows or explicitly scoped sink-only acceptance
Pricing and credits,monolith pricing/reward/free-payout counters,representative,source-backed request dimensions; synthetic policy values,Rule matching includes supported dimensions; legacy wildcard rules and local counters; no real Governor/ChargeCollections/Credits durability,TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/monolith-stub/server.py; ENV2_COMPOSE/substitutes/pricing-stub/server.py,substitute_fidelity + synthetic_fixture,Flat/wildcard fee assumptions and ephemeral counters can hide tariff or transaction errors,Adapter checks passed; I90 fee/source toggle acceptance pending,Per-mode exact fee/tax assertions and observed ChargeCollections source toggle
Queued balance mirror,Ledger truth -> API mirror -> balance event/cron,substitute,source-backed observable side effects; manual trigger is representative,"Authenticated arena control reads real Ledger truth, updates API balance/updated_at, emits real balance_ids event; not production queue consumer",payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/app/balance/repo.go:26-51; internal/routing/router/payout_internal_routes.go:52; reports/implementation/CONTRACT_FIXES.md; reports/implementation/VERIFIER_REPAIR_NOTES.md,ENV2_COMPOSE/substitutes/monolith-stub/server.py,substitute_fidelity + synthetic_control,Manual synchronization hides real queue ordering/latency; Direct must use x-balances,"Commit-before-event adapter test, final replay19/20 V24 top-up/cron and final-acceptance queued route passed",Production balance event consumer ordering/latency and durability
Splitz,merchant experiment evaluation,substitute,source-confirmed server-side response contract; rollout assignments ASSUMED,Payouts remote Evaluate; default off; FTS enabled=true variable; synthetic variants per generated merchant rather than production rollout state,"payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:pkg/splitz/splitz.go:91-98,149-161; fts@2a09e763116db47a2f28553c677ad73ef8133ebf:internal/providers/splitz/splitz.go:248-256; reports/implementation/CONTRACT_FIXES.md",ENV2_COMPOSE/substitutes/splitz-stub/server.py; ENV2_COMPOSE/config/routes.py,substitute_fidelity + synthetic_fixture,Fixture assignments can force paths unrepresentative of current production segments,Three offline Splitz tests passed; observed toggle evidence pending,Evaluate calls and branch changes with explicit before/after synthetic assignments
DCS,merchant config/features protobuf KV,substitute,source-backed protobuf wire contract; deployment settings ASSUMED,Local login/KV substitute with per-arena values; clients patched to route locally,"TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md; payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:pkg/dcs/features/features.go:23,168; reports/implementation/CONTRACT_FIXES.md",ENV2_COMPOSE/substitutes/dcs-stub/server.py; ENV2_COMPOSE/build/arena-patches/README.md,substitute_fidelity + explicit_behavior_change,Cannot infer deployed feature values or cache/outage behavior from synthetic fixtures,DCS wire checks passed; final clean reservation-store readiness and V12/V13 scenarios passed,Live cache/outage behavior and explicit feature-positive versus feature-absent branch evidence
Shield,fraud allow/block/review and timeout,substitute,selected rule/response contract,Rule evaluator and configurable global latency; real model/data absent; requested per-request fault controls not established,TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md; TWIN_SPEC/CODEX_HANDOFF.md:P1.6,ENV2_COMPOSE/substitutes/shield-stub/server.py,substitute_fidelity + synthetic_fixture,Rule fixtures and global timing may hide 200ms fail-open/request scoping differences,Replay19/20 V22 actual scoped delay hit and fail-open held dispatch passed,Additional block/deny/error policy outcomes
ASV merchant config,MerchantConfigViaAsvAndDcs path,unknown,unimplemented native gRPC contract,HTTP JSON stub does not implement account-service native gRPC; experiment kept off,TWIN_SPEC/components.yaml:asv; TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md,ENV2_COMPOSE/substitutes/asv-stub/server.py,none_missing_protocol,Turning the gate on must fail visibly; off-state tests cannot prove ASV branch,Native gRPC not implemented,Source-backed gRPC mock or real ASV before enabling the experiment
Banking accounts,direct account detail lookup,representative,selected route only,Static synthetic account details; onboarding lifecycle and broader BAS routes absent,TWIN_SPEC/components.yaml:banking_accounts,ENV2_COMPOSE/substitutes/bankingaccounts-stub/server.py,synthetic_fixture,Static account state hides real onboarding and statement interactions,Selected seeded account paths accepted in final suite and retained route profiles,Broader per-route contract checks and separate onboarding scope
Stork capture + merchant receiver,terminal webhook delivery/HMAC,substitute,selected JSON contract and local delivery; no durable Stork parity,"JSON Twirp client patch, local HMAC delivery/capture and reorder support; full retry/disable crons/queue persistence not reproduced",TWIN_SPEC/substitute-contracts/stork-capture.md; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/stork-capture/server.py; ENV2_COMPOSE/substitutes/merchant-webhook-sink/server.py,substitute_fidelity + explicit_behavior_change,"Local synchronous delivery can hide durable retry, subscription disable and wire-format failures",Replay19/20 V21 exact signed details/terminal receipt and duplicate suppression passed; final boot20 golden and six route signed receipts passed,Durable retry/outage/disable/subscription lifecycle and native wire parity
Real Stork,delivery service build/bootstrap,unknown,source available; current build/runtime unverified,No isolated real Stork acceptance; source includes build and slit Compose; not proven infeasible,stork@800b719030aa5051c76630fa7c2020aa2a1f8348:go.mod; reports/implementation/CONTRACT_FIXES.md,TWIN_SPEC/substitute-contracts/stork-capture.md,none_unattempted_scope,Must not claim real Stork delivery/retry semantics from capture substitute,Not built or boot-verified in this workstream,Approved cached dependencies and isolated real service build/bootstrap
Workflow/Cadence,approval/rejection/expiry/callback state machine,unknown,real integration absent; source contract available,Workflow-applicable path points at loopback blackhole; no Cadence/Cassandra/config seeding/API/workers; API skip flag does not validate approvals,workflows@080d71a51b777c89af586c92ac4b5f683a473a7c; TWIN_SPEC/substitute-contracts/workflow-service.md,ENV2_COMPOSE/config/templates/base/payouts/arena.toml,none_missing_scope,Never replace missing approval with auto-approval; preserve source expiry/no-self-approval-check gaps,Not implemented/boot-verified; Cadence server version UNKNOWN,Approved server version and isolated real workflow stack or explicit source-faithful contract
XAS/BAS/reconciliation/ART,statement matching and repair,unknown,health sink / selected source routes only,"No statement ingestion, durable UTR matching, recon dispatcher or admin repair caller; PS/FTS routes existing in source do not establish flow",TWIN_SPEC/substitute-contracts/xas-recon-repair.md; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/substitutes/xas-sink/server.py,none_missing_scope,"No claim of stuck-initiated, statement reconciliation or repair coverage",Not implemented,Source-backed statement fixtures and actual FTS ART/BAS route traces
UPS/VPA validation,UPI beneficiary name resolution,unknown,not implemented,No native UPS/payments-upi validation service; broader UPI-beneficiary flows outside scope,TWIN_SPEC/components.yaml:ups; TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md,TWIN_SPEC/substitute-contracts/dcs-splitz-pricing-shield.md,none_missing_scope,Transfer UPI labels cannot establish beneficiary validation behavior,Not implemented,Minimal source-backed UPS contract before running UPI-beneficiary acceptance
Cron/FastCron,queued/scheduled/hold/reconcile/batch/fund management,representative,source-confirmed routes/DTOs; cadence ASSUMED,Eight local job routes with synthetic intervals and merchant targets; not actual FastCron production export,payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/routing/router/cron_routes.go; reports/implementation/CONTRACT_FIXES.md; TWIN_SPEC/CODEX_HANDOFF.md:P0.2,ENV2_COMPOSE/scripts/cron-driver/driver.py,runtime_wiring + synthetic_fixture,Accelerated schedules and direct triggers do not establish production liveness timing,Final startup real reconciliation/store-trust check and V24 explicit queued/scheduled cron cases passed,"Remaining cron job responses, recurring liveness and approved nonsecret cadence metadata"
API DB subset,Payouts legacy reads and mirror schema,representative,source-backed subset with explicit representative extensions,19-table subset; corrected plural names/keys; incomplete payout/contact/account models; features.name widened to255 for synthetic compatibility,api@2d665f918b60e917ec92be648fb5816d247f72b1:database/migrations/2016_10_24_081731_create_features_table.php; TWIN_SPEC/schema/apidb-subset.mysql.sql; reports/implementation/IMPLEMENTATION_SPEC_RECONCILIATION.md,ENV2_COMPOSE/seeds/mysql/apidb-ddl/00_init.sql; ENV2_COMPOSE/seeds/schema-patches/apidb.sql,substitute_fidelity + explicit_schema_extension,Subset and width extension can hide real query/schema rejection; not exact production DDL,Offline schema/constraint tests passed; effective clean schema pending,Schema-only SHOW CREATE TABLE and final startup inventory
Payout details/sub-balances schema gaps,beneficiary_bank_code and x-balances sub_balance,unknown,model types do not establish physical DDL,Payouts beneficiary_bank_code physical type and x-balances migration wiring not established; sibling API CHAR(4) is not service proof,reports/implementation/SCHEMA_COMPARISON.md; reports/implementation/IMPLEMENTATION_SPEC_RECONCILIATION.md,ENV2_COMPOSE/seeds/schema-patches/payouts.sql,representative_schema_patch,Invented type/default or unwired table can create false acceptance,Known evidence gap,Approved schema-only exports/revision and migration registration; no customer rows
Synthetic fixture compiler,per-verifier identities/balances/accounts/fees,representative,deterministic source-constrained fixtures; operational values ASSUMED,"Distinct generated namespaces, current epoch freshness, explicit source mappings and hashes; opening balances/fees/gates are artificial",reports/implementation/SYNTHETIC_DATA_IMPLEMENTATION.md; reports/implementation/IMPLEMENTATION_SPEC_RECONCILIATION.md,ENV2_COMPOSE/seeds/generator/generate.py,synthetic_fixture,"Fixture branches, large headroom and time acceleration can hide production distribution/timing",Replay19/20 each26/0/0; audits passed exit0/outside0; strict logical-replay-final.json passed with valid inputs and zero differences,Broader synthetic distributions and approved deployed metadata; no production-distribution claim
DCS URL source/module patch,all local DCS calls,real,explicit behavior-changing safety patch,Wrapper context override and goutils GetContextUrl fallback select ARENA_DCS_URL; original path retained when unset,ENV2_COMPOSE/build/arena-patches/README.md; reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/apply-arena-patches.sh; ENV2_COMPOSE/build/arena-patches,explicit_behavior_change_safety,Hides production environment-to-endpoint resolution failures; local DCS reachability is intentionally different,Patch hashes recorded; builds passed,Retain patch diff/hash and disclose route override in every fidelity claim
Stork JSON source patch,Payouts -> Stork Twirp encoding,real,explicit behavior-changing transport patch,ARENA_STORK_JSON=1 selects JSON instead of Protobuf client; unset preserves original client,ENV2_COMPOSE/build/arena-patches/README.md; reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/apply-arena-patches.sh,explicit_behavior_change_transport,Can hide Protobuf encoding/decoding incompatibility and native Stork behavior,Patch hash/build and selected JSON Twirp delivery/HMAC acceptance passed in final suite,Real/protobuf-capable Stork to remove patch and establish native wire parity
Fresh build admission and codegen,five service source copies,real,pinned source/checksum/build evidence; cold cache unproven,"Fresh Git HEAD archive, reviewed comment redaction, unused test-fixture exclusion, pinned RPC generation and RX migration materialization",reports/implementation/BUILD_PROVENANCE.md; ledger@471ff4d5321b6b99a7965882d18f572a1adf5194:build/docker/prod/Dockerfile.migration:58-60,ENV2_COMPOSE/build/prepare-repos.py; ENV2_COMPOSE/build/check-inputs.py,build_scoping + code_generation,Excluded fixtures and generated package selection must not be confused with byte-identical pristine trees,Five candidate builds and go mod verify passed; original clones unchanged,Cold-cache dependency rehearsal and other architecture build if needed
Runtime asset permissions,CFA/Payouts public IFSC JSON,real,identical asset hashes; configured UID readability proven,Explicit0644 public JSON and0755 dirs/binaries; source copies remain0600,reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/build-host.sh,runtime_wiring,No content behavior change; fixes packaging-only read failure,Network-none configured-UID checks passed,Recheck asset inventory on any dependency/version update
Host ingress / generated secrets,loopback bridge and UID 10001 materialization,representative,local safety mechanism; not production topology,Same-origin loopback exec bridge; eight narrow generated volumes; local-only credentials and internal networks,reports/implementation/SAFETY_REVIEW.md,ENV2_COMPOSE/scripts/ingress.py; ENV2_COMPOSE/secrets/materialize.py; ENV2_COMPOSE/network/egress_audit.py,safety + runtime_wiring,Safety assertions require full-window egress and cleanup evidence; no production transport parity,Replay19/20 exact-window audits passed; actual timeout/SIGTERM owned-resource cleanup verified; reviewed same-boot endpoint/secret scan passed within documented scope,Live interrupted-workload cleanup observation where not separately evidenced
Dependency fault proxy / verifier controls,Ledger and downstream failure observation,representative,test instrumentation with explicit fault scope,Fault proxy or arena controls inject bounded delay/drop/error; some verifier nodes exercise adapter boundaries directly,reports/implementation/VERIFIER_REPAIR_NOTES.md,ENV2_COMPOSE/substitutes/ledger-gate/server.py; ENV2_COMPOSE/verifier,test_instrumentation,Injected callback DTO or control is not proof that a real bank/queue produced it,Replay19/20 actual scoped fault hits and selected ordering/recovery checks passed,Untested fault/retry combinations; retain adapter-boundary versus bank-route classification
Remote Daytona execution,isolated upload/run/cleanup,unknown,package dry-run/failure tests only,"No remote resource, upload, observed allocation or remote acceptance; company authorization and local acceptance remain prerequisites",reports/implementation/DAYTONA_RUN_REPORT.md,DAYTONA,deployment_packaging,"Local adapter tests cannot establish SDK compatibility, nested Docker or remote deletion",Not run remotely; 12 local package tests passed; final unapproved dry run exit0 with zero API calls,"Resolve Shared Kafka/inconclusive timeout acceptance blockers; exact approved transfer manifest, supported SDK/snapshot and verified remote deletion"
Migration runtime staging,per-service migration file reads,real,admitted source hashes unchanged; configured UID 10001 readability proven,Only admitted Go/SQL migration assets exposed through per-service read-only binds; stage files 0444/directories 0755 under private 0700 root; source stays 0600,reports/implementation/BUILD_PROVENANCE.md; reports/implementation/migration-readability-verification.json,ENV2_COMPOSE/build/configure-local.py,runtime_wiring + build_hygiene,No intended schema/content behavior change; full platform startup still requires acceptance,118 files read/hash-verified by four configured-user network-none containers; all test containers removed; six helper tests pass,Explicit fresh configure/start using passed provenance; no active path mutation performed
