repository,kind,sha,commit_date,dirty,language,clone_path,origin,role_in_payouts,access,integrity,working_files
razorpay/payments-upi,repository,b23ec7ea9126561500ae34791c4ef8efe55e6f14,2026-09-03T21:41:32+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/payments-upi,https://github.com/razorpay/payments-upi.git,UPS (VPA validation),cloned,intact,2114
razorpay/payout-links,repository,2c81a4d97f961794fa8a95ec8580311203460bdf,2026-06-11T07:51:36Z,False,go,/Users/rana.singh/rzp-payouts-clones/payout-links,https://github.com/razorpay/payout-links.git,Creates payouts via monolith payouts_internal (Basic Auth + X-Payout-Idempotency); receives status via inbound RPC; own webhooks via Stork,cloned,intact,426
razorpay/payouts,repository,4bf3dbf9239feadea6d65ca90c893a988e116173,2026-09-03T05:41:21Z,False,go,/Users/rana.singh/rzp-payouts-clones/payouts,https://github.com/razorpay/payouts.git,"Payout system of record: create/approve/queue/schedule/bulk/cancel/reversal state machine, idempotency, ledger+FTS orchestration, merchant webhooks to Stork, shadow-gateway cutover",cloned,intact,2576
razorpay/pg-sdk,repository,9dab0077947aad4fe86ea81a412b8d10283aeb17,2026-09-03T15:23:51+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/pg-sdk,https://github.com/razorpay/pg-sdk.git,PG router SDK,cloned,intact,735
razorpay/proto,repository,52682577d79d7237944e9fbb10477a1721623065,2026-09-04T14:21:24+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/proto,https://github.com/razorpay/proto.git,"Protobuf contracts (Stork, ledger, payouts, x-*, validx)",cloned,intact,2768
razorpay/python-foundation,repository,6ad04a1e23efbaa3892821e4a384bd5eec5d6b9d,2026-07-23T04:52:18+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/python-foundation,https://github.com/razorpay/python-foundation.git,—,cloned,intact,168
razorpay/razorpay-mcp-server,repository,,,False,other,/Users/rana.singh/rzp-payouts-clones/razorpay-mcp-server,,Read-only fetch payout tools,cloned; DECAYED (git objects lost; working files partial),DECAYED (git objects lost; working files partial),5
razorpay/recon,repository,6974fec90f78712af77aea3ce8e3858836fd16fe,2026-09-02T16:53:09+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/recon,https://github.com/razorpay/recon.git,3-way statement/payout/main_statement match; touches FTS attempts via ART auth,cloned,intact,2779
razorpay/relay,repository,2404424cc9c68e465d9dbc7023cbbb47929a0007,2026-06-11T07:50:32Z,False,other,/Users/rana.singh/rzp-payouts-clones/relay,https://github.com/razorpay/relay.git,Polled by FTS (relay.poll.interval=15s); purpose in payouts path not traced,cloned,intact,1070
razorpay/rpc,repository,27388ee6335145064774ef31440cc91dbccd8bb0,2026-09-04T14:40:16+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/rpc,https://github.com/razorpay/rpc.git,Generated RPC packages,cloned,intact,2699
razorpay/rzpconv,repository,3a9e5712d8e5bf27e27c173ded625f10f5876bfc,2026-09-02T09:47:28Z,False,other,/Users/rana.singh/rzp-payouts-clones/rzpconv,https://github.com/razorpay/rzpconv.git,Semantic conventions (rzpconv/payouts used by XAS),cloned,intact,272
razorpay/security-action,repository,dfdaa6f240f58d11141ecd20cec569fcc226cfb3,2026-07-13T21:24:44+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/security-action,https://github.com/razorpay/security-action.git,—,cloned,intact,388
razorpay/self-serve-analytics,repository,a0fc9cca6920d00ded65ced1d5a6c2f4484a089c,2026-09-03T16:01:52+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/self-serve-analytics,https://github.com/razorpay/self-serve-analytics.git,"Consumes CDC lake tables realtime_hudi_api.payouts, realtime_fts_live.transfers",cloned,intact,5895
razorpay/shield-sdk,repository,1a4cbf7691734a781034295c6bcb21877d263fff,2026-09-02T17:10:00+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/shield-sdk,https://github.com/razorpay/shield-sdk.git,Shield risk client,cloned,intact,494
razorpay/spinacode,repository,da46a5239144c61049c96729b76813b59f6a349c,2026-09-04T14:57:31+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/spinacode,https://github.com/razorpay/spinacode.git,"Cron schedules, env vars, service accounts, replicas",cloned,intact,8401
razorpay/splitz,repository,fa6f4c7ee13db2b1111887fea69b497e58ecc0e5,2026-09-01T02:28:24+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/splitz,https://github.com/razorpay/splitz.git,Experimentation backend,cloned,intact,687
razorpay/stork,repository,800b719030aa5051c76630fa7c2020aa2a1f8348,2026-09-03T14:14:08Z,False,go,/Users/rana.singh/rzp-payouts-clones/stork,https://github.com/razorpay/stork.git,Merchant payout.* webhooks (no ordering guarantee),cloned,intact,1289
razorpay/tejas,repository,44c1a7795f998fe46d4a797273c4c4cfa86c3ff7,2026-07-25T15:08:59+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/tejas,https://github.com/razorpay/tejas.git,—,cloned,intact,6
razorpay/terraform-kong,repository,8ffe965bce7868d150344433d3bfbf3e630e228b,2026-09-04T08:50:02Z,False,other,/Users/rana.singh/rzp-payouts-clones/terraform-kong,https://github.com/razorpay/terraform-kong.git,"Route→upstream (monolith vs PS), basic-auth-x, upstream-jwt (passport minting), rate limits, IP restriction, payouts-proxy-cutover template",cloned,intact,3128
razorpay/vendor-experience,repository,df90df21bee54ce0148df43d3fc65e7ba7b60160,2026-08-05T16:18:24+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/vendor-experience,https://github.com/razorpay/vendor-experience.git,No payout calls; calls vendor-payments,cloned,intact,1305
razorpay/vendor-payments,repository,20c4f4d59970471067388afea8b1d65ac39ee126,2026-08-28T00:11:57+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/vendor-payments,https://github.com/razorpay/vendor-payments.git,Creates payouts via x.razorpay.com payouts_internal / internalContactPayout / 2FA; PayoutStatusChange inbound RPC; TDS; workflow-service approvals,cloned,intact,2468
razorpay/virtual-account,repository,437f39807e1575c3b00b0ef57cdde804a54be5ce,2026-08-31T10:30:23+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/virtual-account,https://github.com/razorpay/virtual-account.git,VA balance_id resolution via x-balances; ledger journal reads; VA-to-VA payout ledger events exist in payouts,cloned,intact,1061
razorpay/workflows,repository,080d71a51b777c89af586c92ac4b5f683a473a7c,2026-02-10T22:29:06+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/workflows,https://github.com/razorpay/workflows.git,Workflow Service (approvals),cloned,intact,335
razorpay/x,repository,40b093f97ec1b8162e7f46ecee223af04982d5ba,2026-09-02T17:26:21+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/x,https://github.com/razorpay/x.git,Merchant entrypoint: create/approve/reject/cancel/bulk/links; permission gating client-side; cookie+CSRF to dashboard.razorpay.com,cloned,intact,11725
razorpay/x-account-statements,repository,e73fd5ae271dea104cea71781f4b644e52d414c3,2026-08-31T10:53:08+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/x-account-statements,https://github.com/razorpay/x-account-statements.git,"Bank-statement ingestion via Mozart, UTR matching to payout/reversal source events (SQS), statement→entity link dual-write to monolith; input to ART recon",cloned,intact,758
razorpay/x-balances,repository,1a21c0f9111da14125d839dc0dfe8d980740f207,2026-08-18T20:11:55+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/x-balances,https://github.com/razorpay/x-balances.git,"Source-account selection (ListAccounts/MAR), banking balance mirror via Mozart polling, ledger-enriched sub-balances, BalanceRefreshEvent for in-flight reservation, API-DB fallback",cloned,intact,718
razorpay/x-bank-statement-sync,repository,0379e977b09db434a0e9f69998c909ae52c62815,2025-09-28T19:16:47+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/x-bank-statement-sync,https://github.com/razorpay/x-bank-statement-sync.git,No source,cloned,intact,4
razorpay/xperience,repository,88729560e52b35aa9d5768d67ff807f847537ee7,2026-06-11T07:51:13Z,False,go,/Users/rana.singh/rzp-payouts-clones/xperience,https://github.com/razorpay/xperience.git,"Dashboard BFF: bulk-payout lifecycle owner (upload→validate→approve→Batch), petty-cash payout create via monolith, PSClient reads; Casbin authz in-process",cloned,intact,782
razorpay/charge-collections-sdk,repository,,2026-09-03T11:44:12Z,,,,,Client library imported by payouts (pkg/ccSdk),blocked: presumed (not attempted; repo-level read grant),,
razorpay/tax-compliance,repository,,,,,,,TDS/compliance (payouts publishes add-tds-entry only) | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/master-onboarding,repository,,,,,,,merchant onboarding; not on payout execution path | substitute: F0 (seed data),blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/catalyst,repository,,,,,,,IRCTC settlement flow (out of scope) | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/qa-tools,repository,,,,,,,QA tooling | substitute: own fixtures,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/e2e-test-orchestrator,repository,,,,,,,DevStack E2E orchestrator | substitute: own scripts,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/frontend-graphql,repository,,,,,,,seed hypothesis; not referenced by any payouts client | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/asv,repository,,,,,,,"Account Service gRPC (merchant activated/hold_funds); `account-service` name also 404 | substitute: ASV stub (activated=true, hold_funds=false) from goutils/account-service contract",blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/account-service,repository,,,,,,,see asv | substitute: —,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/kong-plugin-user-auth,repository,,,,,,,passport/user auth Kong plugin (edge repo has references) | substitute: Kong-lite from terraform-kong + edge,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/kong-plugin-consumer-identifier,repository,,,,,,,consumer identification plugin | substitute: same,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/kong-utils,repository,,,,,,,Kong plugin utils | substitute: same,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/scrooge,repository,,,,,,,settlement/recon engine (FTS caller SCROOGE) | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/settlements,repository,,,,,,,settlements service (FTS caller) | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/raven,repository,,,,,,,SMS service (payouts pkg/raven) | substitute: Mock=true / capture stub,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/ufh,repository,,,,,,,file service (xperience) | substitute: F0 (Env 5),blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/beam,repository,,,,,,,file relay (FTS JPMC) | substitute: F0,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/razorx,repository,,,,,,,FTS flag engine | substitute: stub returning defaults,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/wda-service,repository,,,,,,,TiDB data access service | substitute: MySQL stand-in for TiDB,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/vault,repository,,,,,,,card token vault | substitute: Mock=true (card mode out of Env 2),blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/hvault,repository,,,,,,,secrets vault (payload encryption keys) | substitute: Mock=true (payload encryption off),blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/workflow-service,repository,,,,,,,name does not exist; the repo is `workflows` | substitute: use `workflows`,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/integrations-utils,repository,,,,,,,Go dependency of `mozart` | substitute: Mozart binary cannot be built ⇒ `mozart -mock` is unavailable; arena uses the Python `mozart-sim` substitute instead,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/integrations-go,repository,,,,,,,Go dependency of `mozart` | substitute: same,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/orchestrator,repository,,,,,,,Go dependency of `mozart` | substitute: same,blocked: 404 to this identity (ACCESS_DELTA 2026-09-04),,
razorpay/shield,repository,,,,,,,Risk engine; payouts uses shield-sdk (cloned) + payouts/pkg/shield,"granted, not cloned (6.7 GB); shield-sdk used instead",,
razorpay/kube-manifests/cde/payouts,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/cde/payouts,,"prod-equivalent payouts deployment values (api, ~25 workers, kafka consumers)",cloned,,
razorpay/kube-manifests/cde/shadow-payouts,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/cde/shadow-payouts,,shadow payouts deployment,cloned,,
razorpay/kube-manifests/templates/payouts,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/templates/payouts,,payouts helm template,cloned,,
razorpay/kube-manifests/helmfile/charts/payouts,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/helmfile/charts/payouts,,payouts chart,cloned,,
razorpay/kube-manifests/cde/fts,deployment_artifact,,,,yaml,,,FTS deployments/workers,missing path,,
razorpay/kube-manifests/cde/ledger,deployment_artifact,,,,yaml,,,Ledger deployments + CronJobs,missing path,,
razorpay/kube-manifests/cde/cfa,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/cde/cfa,,CFA deployments + CronJobs,cloned,,
razorpay/kube-manifests/cde/x-balances,deployment_artifact,,,,yaml,,,x-balances deployments,missing path,,
razorpay/kube-manifests/cde/banking-accounts,deployment_artifact,,,,yaml,,,BAS deployments,missing path,,
razorpay/kube-manifests/cde/x-account-statements,deployment_artifact,,,,yaml,,,XAS deployments,missing path,,
razorpay/kube-manifests/cde/workflows,deployment_artifact,,,,yaml,,,Workflow Service deployments,missing path,,
razorpay/kube-manifests/cde/batch,deployment_artifact,,,,yaml,,,Batch deployments + CronJobs,missing path,,
razorpay/kube-manifests/cde/stork,deployment_artifact,,,,yaml,,,Stork deployments + CronJobs,missing path,,
razorpay/kube-manifests/cde/validx,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/cde/validx,,ValidX deployments,cloned,,
razorpay/kube-manifests/cde/mozart,deployment_artifact,9226a892fd767b0e31dd4282b0b4919298f53fda,,,yaml,/Users/rana.singh/rzp-payouts-clones/kube-manifests/cde/mozart,,Mozart deployments,cloned,,
razorpay/spinacode,deployment_artifact,da46a5239144c61049c96729b76813b59f6a349c,,,yaml,/Users/rana.singh/rzp-payouts-clones/spinacode,,Spinnaker pipelines (deploy),cloned,,
razorpay/alert-rules,deployment_artifact,c372beabedf833a2a2c7aec862a4f78ce19e5d00,,,yaml,/Users/rana.singh/rzp-payouts-clones/alert-rules,,Prometheus alert rules (payouts/fts stuck + webhook failures),cloned,,
razorpay/terraform-kong,deployment_artifact,8ffe965bce7868d150344433d3bfbf3e630e228b,,,yaml,/Users/rana.singh/rzp-payouts-clones/terraform-kong,,Edge routes/plugins incl. payouts-proxy-cutover,cloned,,
razorpay/proto,deployment_artifact,52682577d79d7237944e9fbb10477a1721623065,,,yaml,/Users/rana.singh/rzp-payouts-clones/proto,,"protobuf contracts (payouts, ledger, stork, x-*, validx, workflows)",cloned,,
razorpay/config-proto,deployment_artifact,a6b201039f22cc543efb740eba9dd72fd29474b0,,,yaml,/Users/rana.singh/rzp-payouts-clones/config-proto,,DCS object schemas (rzp/x/merchant/payouts/*),cloned,,
rzp-payouts-architecture (twin),twin,409cbe043c7438bc7feae274da2244ac52ca46d9,2026-09-08T14:22:08+05:30,True,python/yaml,/Users/rana.singh/rzp-payouts-architecture,,functional twin,local,,
