id,kind,label,owner_domain,criticality,fidelity,twin_ref,repo,sha,identity_model,build,health,fidelity_evidence,confidence,lanes,source_refs
cron:ledger/cmd-create-merchant-splitaccounts,cron,ledger scheduler command `create-merchant-splitaccounts` -- create split accounts for a merchant,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/create_merchant_split_accounts.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-create-merchant-subaccounts,cron,ledger scheduler command `create-merchant-subaccounts` -- create merchant sub-accounts in bulk,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/create_merchant_subaccounts.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-daily-penny-expense-account-update,cron,ledger scheduler command `daily-penny-expense-account-update` -- penny_expense_settlement accounting for FAV penny drops,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/penny_expense_account_update.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-journal-created-sns-publish,cron,"ledger scheduler command `journal-created-sns-publish` -- republish journal-created to SNS for journals whose publish was deferred/lost (DEFAULT command, config/default.toml:425)",ledger,P1,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/journal_created_sns_publish.go:51;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-ledger-entries-channel-type-update,cron,ledger scheduler command `ledger-entries-channel-type-update` -- backfill ledger_entries channel type,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/ledger_entries_channel_type_update.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-ledger-entry-balance-update,cron,ledger scheduler command `ledger-entry-balance-update` -- REPAIR: recompute ledger_entries.balance,ledger,P1,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/update_ledger_entry_balance.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-ledger-entry-details-create,cron,ledger scheduler command `ledger-entry-details-create` -- backfill ledger_entry_details,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/ledger_entry_details_create.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-create-txn-from-table-name-and-id,cron,ledger scheduler command `makeshift-create-txn-from-table-name-and-id` -- legacy makeshift txn creation,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_create_txn_from_table_name_and_id.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-delete-cls-transactions,cron,ledger scheduler command `makeshift-delete-cls-transactions` -- legacy makeshift delete,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_delete_cls_transactions.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-reference3-update,cron,ledger scheduler command `makeshift-reference3-update` -- legacy makeshift column fix,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_update_reference3.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-replay-cls-journal-bulk-transactions,cron,ledger scheduler command `makeshift-replay-cls-journal-bulk-transactions` -- legacy makeshift bulk replay,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_replay_cls_journal_bulk_transactions.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-replay-cls-journal-transactions,cron,ledger scheduler command `makeshift-replay-cls-journal-transactions` -- legacy makeshift replay,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_replay_cls_journal_transactions.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-makeshift-settlements-update,cron,ledger scheduler command `makeshift-settlements-update` -- legacy makeshift settlement columns,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/makeshift_update_settlement_columns.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-offboard-merchant-split-accounts,cron,ledger scheduler command `offboard-merchant-split-accounts` -- offboard split accounts,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/offboard_merchant_split_accounts.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-pg-split-account-balance-update,cron,ledger scheduler command `pg-split-account-balance-update` -- PG-tenant variant,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/split_account_balance_update_pg.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-split-account-balance-update,cron,ledger scheduler command `split-account-balance-update` -- recompute closing balance for split (high-TPS) accounts and force the deferred SNS publish,ledger,P1,real_source_running,compose ledger-scheduler (one-shot; LEDGER_SCHEDULER_COMMAND=split-account-balance-update),repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/split_account_balance_update.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-update-merchant-balance-subaccounts,cron,ledger scheduler command `update-merchant-balance-subaccounts` -- rebalance merchant balance sub-accounts,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/update_merchant_balance_subaccounts.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-verify-warm-storage,cron,ledger scheduler command `verify-warm-storage` -- warm-storage verification,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/verify_warm_storage.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/split-account-balance-update-cronjob-live,cron,"ledger CronJob split-account-balance-update-cronjob-live (tenant X; concurrencyPolicy Allow, parallelism 2)",ledger,P2,real_source_running,compose ledger-scheduler runs LEDGER_SCHEDULER_COMMAND=split-account-balance-update ONCE at boot then exits 0 (ENV2_COMPOSE/docker-compose.yml:1114-1138),repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,"prod CronJob manifests carry suspend: true, so this job does not run on its schedule in production either",confirmed,external-config-deploy;money-and-statements,"kube-manifests/templates/ledger/templates/;kube-manifests/templates/ledger/templates/split-account-balance-update-cronjob-live.yaml:14,16,41;kube-manifests/prod/ledger/values.yaml:609-610;kube-manifests/templates/ledger/values.yaml:919-922;ledger/internal/scheduled_jobs/split_account_balance_update.go"
cron:ledger/split-account-balance-update-cronjob-pg-live,cron,ledger CronJob split-account-balance-update-cronjob-pg-live (tenant PG; concurrencyPolicy Forbid),ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,"prod CronJob manifests carry suspend: true, so this job does not run on its schedule in production either",confirmed,external-config-deploy;money-and-statements,kube-manifests/templates/ledger/templates/;kube-manifests/templates/ledger/templates/split-account-balance-update-cronjob-pg-live.yaml:16;kube-manifests/templates/ledger/values.yaml:920;ledger/internal/scheduled_jobs/split_account_balance_update_pg.go
cron:ledger/verify-warm-storage-cronjob-live,cron,ledger CronJob verify-warm-storage-cronjob-live (guard key verify_warm_storage_cronjob_enabled is absent from prod/ledger/values.yaml -> does not render at all),ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,"prod CronJob manifests carry suspend: true, so this job does not run on its schedule in production either",confirmed,external-config-deploy;money-and-statements,"kube-manifests/templates/ledger/templates/;kube-manifests/templates/ledger/templates/verify-warm-storage-cronjob-live.yaml:14,16;ledger/internal/scheduled_jobs/verify_warm_storage.go"
cron:ledger/verify-warm-storage-cronjob-test,cron,ledger CronJob verify-warm-storage-cronjob-test -- schedule 0 * * * *; suspend: true in every deployed manifest,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,"prod CronJob manifests carry suspend: true, so this job does not run on its schedule in production either",confirmed,money-and-statements,"kube-manifests/templates/ledger/templates/verify-warm-storage-cronjob-test.yaml:14,16"
cron:payouts/banking_account_statement_fetch_initiate,cron,FastCron job -> POST /v1/cron/banking_account_statement/fetch/initiate (dispatch bank-statement fetches -> SQS rbl_banking_account_statement),payouts,P0,real_source_running,cron-driver job (M4 T10),repo:payouts,4bf3dbf9,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;money-and-statements;payouts-core,"payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:15,26-27;payouts/internal/app/bankingAccountStatementDetails/core.go:55-208;payouts/internal/routing/router/cron_routes.go:12-198"
cron:payouts/elasticsearch_backfill_index,cron,cron trigger for POST /v1/cron/elasticsearch/backfill_index,payouts,P2,graph_only,,,,,,,no twin scheduler drives this endpoint; route exists but is never called,confirmed,payouts-core,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/fund_management_payouts_check,cron,FastCron job -> POST /v1/cron/fund_management_payouts/check (fund-management payout check (DTO requires a non-empty merchant_ids)),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/payouts_dual_write_failure_processing,cron,FastCron job -> POST /v1/cron/payouts_dual_write_failure_processing (retry failed dual-writes to the API monolith),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 900s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 900s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/payouts_sla_breach_monitor,cron,cron trigger for POST /v1/cron/payouts_sla_breach_monitor,payouts,P1,graph_only,,,,,,,no twin scheduler drives this endpoint; route exists but is never called,confirmed,payouts-core,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_batch_submitted_payouts,cron,FastCron job -> POST /v1/cron/process_batch_submitted_payouts (batch-submitted payouts (route ignores the body)),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;identity-ingress;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:40-49;payouts/.agents/skills/repo-skill/20-api-routes.md:1160;ENV2_COMPOSE/seeds/s4/cron_schedule.yaml:42-47;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_beneficiary_bank_on_hold_payouts,cron,FastCron job -> POST /v1/cron/process_beneficiary_bank_on_hold_payouts (bene-bank on-hold payouts),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_inflight_reservation_reconciliation,cron,FastCron job -> POST /v1/cron/process_inflight_reservation_reconciliation (in-flight balance-reservation reconciliation),payouts,P0,real_source_running,cron-driver every 300s,repo:payouts,4bf3dbf9,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;money-and-statements;payouts-core,"payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:77-78;payouts/internal/app/payouts/inflight_reservation_reconciler.go:102-233,387-421;payouts/internal/routing/router/cron_routes.go:12-198"
cron:payouts/process_queued_low_balance_payouts,cron,FastCron job -> POST /v1/cron/process_queued_low_balance_payouts (low-balance queued payouts (optional balance_ids / balance_ids_not)),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_queued_payouts,cron,FastCron job -> POST /v1/cron/process_queued_payouts (partner-bank-downtime queued payouts (body {type})),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_scheduled_payouts,cron,FastCron job -> POST /v1/cron/process_scheduled_payouts (scheduled payouts due now),payouts,P0,high_fidelity_replacement,"sub:cron-driver (interval 300s, env CRON_INTERVAL_*)",,,identity:fastcron-basic-auth:payouts,,,"production cadence lives in the FastCron SaaS and is UNKNOWN; the twin's 300s is ASSUMED (DEV-170, driver.py header)",confirmed,external-config-deploy;payouts-core,payouts/internal/routing/router/cron_routes.go;ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56;payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/reverse_dual_write,cron,cron trigger for POST /v1/cron/reverse_dual_write,payouts,P1,graph_only,,,,,,,no twin scheduler drives this endpoint; route exists but is never called,confirmed,payouts-core,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/shadow-payouts-fastcron-ingress,cron,shadow-payouts-external IngressRoute also carries shadow-payouts-fastcron-ip-whitelist on PathPrefix(/v1/cron/),payouts,P2,graph_only,,,,,,,,confirmed,external-config-deploy,kube-manifests/templates/shadow-payouts/templates/ing-v2.yaml
cron:payouts/tidb_data_consistency_check,cron,cron trigger for POST /v1/cron/tidb_data_consistency_check,payouts,P2,graph_only,,,,,,,no twin scheduler drives this endpoint; route exists but is never called,confirmed,payouts-core,payouts/internal/routing/router/cron_routes.go:12-198
cron:recon/recon-mysql-archival-service,cron,"recon CronJob recon-mysql-archival-service, schedule 0 0 * * *, suspend: false (the ONLY non-suspended CronJob in this lane)",recon,P2,graph_only,,repo:recon,6974fec,,,,,confirmed,money-and-statements,"kube-manifests/templates/recon/templates/archival_cron_job.yaml:5,9,11;kube-manifests/prod/recon/values.yaml:77-78;recon/app/recon_mysql_archival_service/"
cron:stork/stork-partitioner,cron,Stork CronJob stork-partitioner -- DB partition maintenance,stork,P1,graph_only,,,,,,,"no Stork scheduler runs in the twin, so no retry/backoff re-enqueue ever happens",confirmed,external-config-deploy,kube-manifests/templates/stork/templates/cronjobs.yaml;kube-manifests/prod/stork/values.yaml
cron:stork/stork-scheduler,cron,Stork CronJob stork-scheduler -- re-enqueues FAILED/SCHEDULED channels per the backoff policy,stork,P1,graph_only,,,,,,,"no Stork scheduler runs in the twin, so no retry/backoff re-enqueue ever happens",confirmed,external-config-deploy,kube-manifests/templates/stork/templates/cronjobs.yaml;kube-manifests/prod/stork/values.yaml
cron:stork/stork-webhook-disabler,cron,Stork CronJob stork-webhook-disabler -- disables stale/low-success webhooks (Trino-backed),stork,P1,graph_only,,,,,,,"no Stork scheduler runs in the twin, so no retry/backoff re-enqueue ever happens",confirmed,external-config-deploy,kube-manifests/templates/stork/templates/cronjobs.yaml;kube-manifests/prod/stork/values.yaml
cron:x-balances/balance_fetch_per_channel,cron,external scheduler → POST /v1/cron/balance/{channel}/fetch (prod values crons: []; console image exists; cadence UNKNOWN),x-balances,P0,real_source_mapped_not_running,not driven (cron-driver has no x-balances job; T04 C4),repo:x-balances,1a21c0f9111da14125d839dc0dfe8d980740f207,,,, | blocked_by: cron-driver has no x-balances job and mozart-sim serves account_balance for RBL only; per-channel polling for other banks needs mozart fixtures [ENV2_COMPOSE/scripts/cron-driver; m4-subagent-handoffs/T04.md C4] | blocked_by: cron-driver has no x-balances job and mozart-sim serves account_balance for RBL only; per-channel polling for other banks needs mozart fixtures [ENV2_COMPOSE/scripts/cron-driver; m4-subagent-handoffs/T04.md C4] | blocked_by: cron-driver has no x-balances job and mozart-sim serves account_balance for RBL only; per-channel polling for other banks needs mozart fixtures [ENV2_COMPOSE/scripts/cron-driver; m4-subagent-handoffs/T04.md C4] | blocked_by: cron-driver has no x-balances job and mozart-sim serves account_balance for RBL only; per-channel polling for other banks needs mozart fixtures [ENV2_COMPOSE/scripts/cron-driver; m4-subagent-handoffs/T04.md C4],confirmed,money-and-statements;zz-worker-gaps,"kube-manifests/prod/x-balances/values.yaml:3,413;x-balances/internal/api_controller/balance_fetch/server.go:67-129"
