from,to,type,via,identity,fidelity,confidence,source_refs
event:ledger/da_fee_payout_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_fee_payout_reversed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_payout_processed,flag:api-features/da_ledger_journal_writes,gated_by,,,high_fidelity_replacement,confirmed,
event:ledger/da_payout_processed,flag:splitz/payout_service_txn_recon,gated_by,skipped when ON for PS-owned payouts,,graph_only,confirmed,
event:ledger/da_payout_processed,table:ledger/ledger_config,reads,,,high_fidelity_replacement,confirmed,
event:ledger/da_payout_processed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_payout_processed_recon,table:ledger/ledger_config,reads,,,high_fidelity_replacement,confirmed,
event:ledger/da_payout_reversed,table:ledger/ledger_config,reads,,,high_fidelity_replacement,confirmed,
event:ledger/da_payout_reversed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_payout_reversed_recon,table:ledger/ledger_config,reads,,,high_fidelity_replacement,confirmed,
event:ledger/fav_failed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/fav_initiated,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/fav_processed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/fav_reversed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/fund_loading_expired,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/fund_loading_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/fund_loading_processed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/inter_account_credit_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/inter_account_payout_failed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/inter_account_payout_initiated,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/inter_account_payout_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/inter_account_payout_reversed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/my_payout_initiated,table:ledger/ledger_config,reads,,,graph_only,confirmed,
event:ledger/negative_adjustment_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/payout_failed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/payout_failed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/payout_initiated,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/payout_initiated.legacy,table:ledger/ledger_config,reads,,,graph_only,confirmed,
event:ledger/payout_initiated.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/payout_processed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/payout_processed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/payout_reversed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/payout_reversed.legacy,table:ledger/ledger_config,reads,,,graph_only,confirmed,
event:ledger/payout_reversed.reward,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/penny_expense_settlement,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/positive_adjustment_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/va_to_va_credit_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/va_to_va_payout_failed,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/va_to_va_payout_initiated,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
ext:fastcron,cron:payouts/banking_account_statement_fetch_initiate,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/banking_account_statement_fetch_initiate,schedules,HTTP Basic POST /v1/cron/banking_account_statement/fetch/initiate,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/elasticsearch_backfill_index,calls,,,graph_only,confirmed,
ext:fastcron,cron:payouts/fund_management_payouts_check,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/fund_management_payouts_check,schedules,HTTP Basic POST /v1/cron/fund_management_payouts/check,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/payouts_dual_write_failure_processing,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/payouts_dual_write_failure_processing,schedules,HTTP Basic POST /v1/cron/payouts_dual_write_failure_processing,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/payouts_sla_breach_monitor,calls,,,graph_only,confirmed,
ext:fastcron,cron:payouts/process_batch_submitted_payouts,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_batch_submitted_payouts,schedules,HTTP Basic POST /v1/cron/process_batch_submitted_payouts,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/process_beneficiary_bank_on_hold_payouts,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_beneficiary_bank_on_hold_payouts,schedules,HTTP Basic POST /v1/cron/process_beneficiary_bank_on_hold_payouts,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/process_inflight_reservation_reconciliation,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_inflight_reservation_reconciliation,schedules,HTTP Basic POST /v1/cron/process_inflight_reservation_reconciliation,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/process_queued_low_balance_payouts,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_queued_low_balance_payouts,schedules,HTTP Basic POST /v1/cron/process_queued_low_balance_payouts,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/process_queued_payouts,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_queued_payouts,schedules,HTTP Basic POST /v1/cron/process_queued_payouts,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/process_scheduled_payouts,calls,,,high_fidelity_replacement,confirmed,
ext:fastcron,cron:payouts/process_scheduled_payouts,schedules,HTTP Basic POST /v1/cron/process_scheduled_payouts,identity:fastcron-basic-auth:payouts,,confirmed,ENV2_COMPOSE/scripts/cron-driver/driver.py:36-56
ext:fastcron,cron:payouts/reverse_dual_write,calls,,,graph_only,confirmed,
ext:fastcron,cron:payouts/tidb_data_consistency_check,calls,,,graph_only,confirmed,
ext:fts,route:payouts/PATCH /v1/payouts/update_payouts_with_fts,callback,FTS fire_transfer_status_webhook (legacy monolith relay path),identity:payouts-basic-auth:fts,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:27-31
ext:fts,route:payouts/POST /v1/payouts/transfer_status_webhook,callback,FTS direct PS webhook (create_transfer_meta_rollout + origin_service=payouts),identity:payouts-basic-auth:fts,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:153-158
ext:fts,topic:rx-fts-status-update-events,produces,fire_transfer_status_webhook -> Kafka,,real_source_running,confirmed,
ext:fts,topic:rx-fts-status-update-retry-events,produces,fire_transfer_status_webhook -> Kafka,,real_source_running,confirmed,
ext:recon-art,route:fts/PATCH /v1/attempts/:action,calls,"recon Kafka workflow consumer -> generic HTTP dispatch (service_name=FTS, base RECON_FTS_LIVE_BASE_URL=https://fts-live.razorpay.com/v1)",identity:fts-basic-auth:art,graph_only,confirmed,"recon/app/workflow_kafka_consumer/processor/consumer_service/fts.py:1-21;recon/app/workflow_kafka_consumer/processor/reconciliation_workflow.py:8-44;fts/internal/transfer/service.go:79-84,891-895"
ext:recon-art,route:fts/POST /v1/attempts/:action,calls,,identity:fts-basic-auth:art,graph_only,confirmed,recon/app/workflow_kafka_consumer/processor/reconciliation_workflow.py:26-34
ext:recon-art,route:fts/PUT /v1/attempts/reconcile,calls,,identity:fts-basic-auth:art,graph_only,confirmed,fts/internal/routing/router/route_list.go:183
ext:workflows,route:payouts/PATCH /v1/workflow/state/:id,callback,StateCallBackProcessedPath,identity:payouts-basic-auth:workflow,high_fidelity_replacement,confirmed,payouts/pkg/workflow/workflow_create.go:285
ext:workflows,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/approve,callback,WfCallbackPath + <payout_id>/approve,identity:payouts-basic-auth:workflow,high_fidelity_replacement,confirmed,payouts/pkg/workflow/workflow_create.go:298
ext:workflows,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/reject,callback,WfCallbackPath + <payout_id>/reject,identity:payouts-basic-auth:workflow,high_fidelity_replacement,confirmed,payouts/pkg/workflow/workflow_create.go:307
ext:workflows,route:payouts/POST /v1/workflow/state,callback,StateCallBackCreatedPath,identity:payouts-basic-auth:workflow,high_fidelity_replacement,confirmed,payouts/pkg/workflow/workflow_create.go:276
ext:x-balances,queue:prod-x-balances-balance-refresh-live,produces,BalanceRefreshEvent,,real_source_running,confirmed,payouts/internal/job/x_balances_balance_refresh.go:18-36
ext:x-balances,route:payouts/GET /v1/internal/non_terminal_payouts/:balance_id,calls,SubBalance CREATE gate,identity:payouts-basic-auth:xbalances,real_source_running,confirmed,payouts/internal/routing/router/xbalances_internal_routes.go:19-30
family:account-statement,ext:mozart,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,ext:xas,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,flag:splitz/account_statement_source_event,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,flag:splitz/xas_source_event_utr_and_grn_match_experiment,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,route:payouts/POST /v1/banking_account_statement/process/batch,implements,,,high_fidelity_replacement,confirmed,
family:account-statement,route:payouts/POST /v1/cron/banking_account_statement/fetch/initiate,implements,,,high_fidelity_replacement,confirmed,
family:account-statement,route:payouts/POST /v1/payouts/banking_account_statement/payout_update,implements,,,high_fidelity_replacement,confirmed,
family:account-statement,table:payouts/banking_account_statement,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,table:payouts/banking_account_statement_details,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,worker:payouts/rbl_banking_account_statement,depends_on,,,high_fidelity_replacement,confirmed,
family:account-statement,worker:payouts/x_account_statement_source_event,depends_on,,,high_fidelity_replacement,confirmed,
family:accounting,journey:accounting/v04,owns,,,,confirmed,
family:accounting,journey:accounting/v05,owns,,,,confirmed,
family:accounting,journey:accounting/v06,owns,,,,confirmed,
family:accounting,journey:accounting/v11,owns,,,,confirmed,
family:accounting,journey:accounting/v23,owns,,,,confirmed,
family:admin-ops,identity:passport-legacy-auth:admin,depends_on,,,real_source_running,confirmed,
family:admin-ops,route:payouts/PATCH /v1/admin/payouts_sync,implements,,,real_source_running,confirmed,
family:admin-ops,route:payouts/POST /v1/admin/:entity,implements,,,real_source_running,confirmed,
family:admin-ops,route:payouts/POST /v1/admin/internal_actions/query_db,implements,,,real_source_running,confirmed,
family:admin-ops,route:payouts/POST /v1/payouts/manual_action,implements,,,real_source_running,confirmed,
family:admin-ops,svc:payouts-api,depends_on,,,real_source_running,confirmed,
family:admin-ops,table:payouts/merchant_configurations,depends_on,,,real_source_running,confirmed,
family:admin-ops,table:payouts/payout_logs,depends_on,,,real_source_running,confirmed,
family:admin-ops,table:payouts/settings,depends_on,,,real_source_running,confirmed,
family:approval-workflow,ext:workflows,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,flag:dcs/enable_payout_workflow,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,flag:dcs/skip_approval_workflow_for_api,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,flag:dcs/skip_workflow_for_dashboard,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,flag:splitz/payout_workflows_dcs_name_experiment,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,journey:approval-workflow/m5-approval-success,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-callback-identity,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-cancellation,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-concurrent-decisions,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-cross-org-denial,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-duplicate-approval,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-duplicate-callback,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-expiry,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-maker-checker-separation,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-rejection,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-restart-recovery,owns,,,,confirmed,
family:approval-workflow,journey:approval-workflow/m5-stale-decision,owns,,,,confirmed,
family:approval-workflow,route:payouts/PATCH /v1/workflow/state/:id,implements,,,high_fidelity_replacement,confirmed,
family:approval-workflow,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/approve,implements,,,high_fidelity_replacement,confirmed,
family:approval-workflow,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/reject,implements,,,high_fidelity_replacement,confirmed,
family:approval-workflow,route:payouts/POST /v1/workflow/state,implements,,,high_fidelity_replacement,confirmed,
family:approval-workflow,state:payout/pending,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,state:payout/rejected,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,sub:workflow-sim,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,svc:payouts-api,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,table:payouts/workflow_config,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,table:payouts/workflow_entity_map,depends_on,,,high_fidelity_replacement,confirmed,
family:approval-workflow,table:payouts/workflow_state_map,depends_on,,,high_fidelity_replacement,confirmed,
family:async-workers,svc:payouts-worker,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/api_queue_for_async_dual_write_direct_push,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/async_dual_write,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/batch_submitted_merchants,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/bulk_payouts,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/data_consistency_checker,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/data_consistency_event,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/fts_async_hv_processing,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/fts_async_processing,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/fund_management_payout_check,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/fund_management_payout_initiate,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/generic_processing,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/on_hold_payout,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/partner_bank_hold_payouts,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/payout_create_failure_handling,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/payout_source_updater,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/payout_update_failure_handling,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/payout_usage_event_processing,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/queued_payout,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/rbl_banking_account_statement,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/schedule_payout,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/transaction_create,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/transaction_create,implements,,,real_source_running,confirmed,
family:async-workers,worker:payouts/webhook_event,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/x_account_statement_source_event,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/x_balance_payouts_event,depends_on,,,real_source_running,confirmed,
family:async-workers,worker:payouts/x_balances_balance_refresh,depends_on,,,real_source_running,confirmed,
